wave,inten,std
3420.660,13.987,4.541
3424.909,14.731,4.305
3429.159,-9.116,4.226
3433.409,1.285,4.273
3437.659,16.135,4.521
3441.909,-10.692,4.308
3446.160,6.013,4.443
3450.411,-4.509,4.233
3454.663,6.708,4.326
3458.915,-0.536,4.329
3463.167,12.468,4.349
3467.420,5.089,4.211
3471.673,-2.162,4.149
3475.926,-10.290,4.136
3480.180,3.818,4.435
3484.434,0.945,4.213
3488.688,14.150,4.542
3492.943,-16.302,4.030
3497.198,22.263,4.647
3501.454,-3.697,4.351
3505.709,15.266,4.593
3509.965,-6.269,4.234
3514.222,21.538,4.557
3518.479,-16.609,4.044
3522.736,16.726,4.329
3526.993,-2.612,4.277
3531.251,15.854,4.452
3535.509,-11.097,4.038
3539.768,-3.310,4.109
3544.027,-8.533,4.260
3548.286,9.839,4.380
3552.546,8.483,4.481
3556.806,14.294,4.382
3561.066,-3.334,4.255
3565.326,5.248,4.369
3569.587,-0.301,4.330
3573.849,14.999,4.474
3578.110,9.313,4.443
3582.372,26.904,4.469
3586.635,12.955,4.295
3590.897,13.538,4.392
3595.160,7.407,4.347
3599.423,28.709,4.720
3603.687,13.478,4.421
3607.951,30.938,4.657
3612.215,5.475,4.295
3616.480,28.546,4.691
3620.745,18.822,4.604
3625.010,27.798,4.713
3629.276,12.266,4.541
3633.542,37.106,4.770
3637.809,31.988,4.620
3642.075,34.374,4.847
3646.342,22.998,4.767
3650.610,43.716,5.096
3654.877,45.493,4.919
3659.145,59.518,5.163
3663.414,37.513,4.809
3667.682,49.605,5.034
3671.951,56.680,5.285
3676.221,53.828,5.096
3680.490,36.977,4.964
3684.760,71.318,5.276
3689.031,63.501,5.438
3693.301,71.440,5.468
3697.572,52.811,5.313
3701.844,81.002,5.532
3706.115,64.023,5.400
3710.387,87.631,5.679
3714.660,62.971,5.417
3718.932,91.599,5.694
3723.205,74.270,5.579
3727.479,90.714,5.877
3731.752,98.965,5.941
3736.026,103.085,5.903
3740.301,112.870,6.086
3744.575,117.343,6.063
3748.850,115.123,6.185
3753.125,146.012,6.361
3757.401,140.666,6.469
3761.677,171.365,6.813
3765.953,167.288,6.776
3770.230,189.851,6.935
3774.507,199.558,7.198
3778.784,181.447,6.985
3783.061,202.609,7.241
3787.339,234.918,7.533
3791.617,243.551,7.588
3795.896,241.508,7.573
3800.175,240.657,7.663
3804.454,245.372,7.678
3808.733,241.299,7.544
3813.013,271.868,7.995
3817.293,255.891,7.697
3821.574,267.768,7.825
3825.854,272.662,7.959
3830.135,280.629,8.005
3834.417,304.399,8.262
3838.698,295.043,8.251
3842.980,321.862,8.504
3847.263,349.219,8.783
3851.545,366.924,8.993
3855.828,358.248,8.944
3860.112,419.876,9.406
3864.395,447.221,9.695
3868.679,447.720,9.759
3872.963,478.301,9.893
3877.248,494.006,10.028
3881.533,530.739,10.345
3885.818,557.170,10.556
3890.103,598.502,10.828
3894.389,645.407,11.274
3898.675,692.635,11.544
3902.962,743.141,11.892
3907.249,740.872,11.927
3911.536,745.306,11.959
3915.823,725.167,11.725
3920.111,716.643,11.737
3924.399,698.516,11.634
3928.687,695.570,11.629
3932.975,757.729,11.970
3937.264,737.050,11.953
3941.554,813.444,12.446
3945.843,827.961,12.446
3950.133,892.372,12.904
3954.423,937.863,13.319
3958.713,969.451,13.410
3963.004,993.721,13.667
3967.295,1082.737,14.159
3971.587,1073.104,14.113
3975.878,1181.526,14.677
3980.170,1270.862,15.270
3984.463,1462.502,16.217
3988.755,1647.822,17.144
3993.048,1797.606,17.903
3997.341,1821.110,17.959
4001.635,1963.005,18.574
4005.929,1932.348,18.459
4010.223,2044.913,18.992
4014.517,2069.419,19.073
4018.812,2169.482,19.476
4023.107,2192.859,19.653
4027.402,2209.973,19.709
4031.698,2300.610,20.086
4035.994,2422.270,20.546
4040.290,2350.336,20.311
4044.586,2444.341,20.732
4048.883,2494.892,20.843
4053.180,2514.864,20.963
4057.478,2517.457,20.988
4061.775,2609.922,21.340
4066.073,2636.842,21.445
4070.372,2722.906,21.802
4074.670,2792.847,22.099
4078.969,2948.617,22.640
4083.268,2961.288,22.687
4087.568,3049.573,22.992
4091.868,3046.349,23.005
4096.168,3238.938,23.690
4100.468,3178.918,23.459
4104.769,3192.589,23.523
4109.070,3341.137,24.025
4113.371,3463.098,24.455
4117.673,3667.502,25.148
4121.975,3638.650,25.050
4126.277,3690.886,25.240
4130.579,3767.622,25.487
4134.882,3814.908,25.610
4139.185,3961.824,26.076
4143.488,3969.223,26.146
4147.792,3998.775,26.221
4152.096,4062.026,26.441
4156.400,4122.910,26.639
4160.704,4130.122,26.644
4165.009,4197.279,26.880
4169.314,4241.987,27.009
4173.620,4324.607,27.253
4177.925,4198.975,26.843
4182.231,4319.216,27.238
4186.537,4357.844,27.347
4190.844,4411.138,27.511
4195.151,4457.371,27.640
4199.458,4514.662,27.845
