wave,flux,error
3420.660,3.160e-08,5.006e-09
3424.909,9.653e-09,2.264e-09
3429.159,8.291e-09,1.219e-09
3433.409,2.980e-09,7.580e-10
3437.659,1.701e-09,5.503e-10
3441.909,1.559e-09,4.593e-10
3446.160,2.357e-09,4.375e-10
3450.411,1.153e-09,4.253e-10
3454.663,7.250e-10,4.069e-10
3458.915,1.886e-09,3.824e-10
3463.167,2.560e-09,3.711e-10
3467.420,1.743e-09,3.364e-10
3471.673,8.700e-10,3.007e-10
3475.926,1.165e-09,2.582e-10
3480.180,1.095e-09,2.198e-10
3484.434,9.478e-10,2.057e-10
3488.688,1.564e-09,2.188e-10
3492.943,1.909e-10,2.256e-10
3497.198,7.475e-10,2.564e-10
3501.454,1.408e-10,2.659e-10
3505.709,1.476e-09,2.756e-10
3509.965,1.990e-09,2.609e-10
3514.222,1.071e-09,2.313e-10
3518.479,9.070e-10,2.011e-10
3522.736,5.854e-10,1.619e-10
3526.993,3.489e-10,1.318e-10
3531.251,7.613e-10,1.131e-10
3535.509,3.391e-10,9.812e-11
3539.768,6.857e-10,8.859e-11
3544.027,5.301e-10,8.514e-11
3548.286,2.838e-10,7.938e-11
3552.546,3.564e-10,7.702e-11
3556.806,4.317e-10,7.302e-11
3561.066,3.924e-10,6.956e-11
3565.326,4.296e-10,6.660e-11
3569.587,2.717e-10,6.119e-11
3573.849,2.120e-10,5.827e-11
3578.110,4.911e-10,5.722e-11
3582.372,4.666e-10,5.387e-11
3586.635,3.507e-10,4.935e-11
3590.897,3.239e-10,4.573e-11
3595.160,1.537e-10,4.081e-11
3599.423,2.545e-10,3.951e-11
3603.687,2.231e-10,3.569e-11
3607.951,2.877e-10,3.326e-11
3612.215,1.348e-10,2.990e-11
3616.480,2.772e-10,2.890e-11
3620.745,3.102e-10,2.742e-11
3625.010,1.694e-10,2.465e-11
3629.276,1.765e-10,2.354e-11
3633.542,1.918e-10,2.201e-11
3637.809,1.108e-10,2.050e-11
3642.075,2.068e-10,2.014e-11
3646.342,1.631e-10,1.859e-11
3650.610,2.027e-10,1.771e-11
3654.877,1.556e-10,1.600e-11
3659.145,2.041e-10,1.443e-11
3663.414,1.295e-10,1.300e-11
3667.682,1.568e-10,1.253e-11
3671.951,1.162e-10,1.178e-11
