wave,inten,std
3420.660,-0.211,0.051
3424.909,-0.233,0.047
3429.159,-0.162,0.052
3433.409,-0.138,0.051
3437.659,0.156,0.056
3441.909,0.220,0.053
3446.160,-0.582,0.049
3450.411,-0.945,0.037
3454.663,-0.637,0.046
3458.915,-0.197,0.050
3463.167,0.023,0.050
3467.420,0.064,0.051
3471.673,0.066,0.052
3475.926,-0.330,0.051
3480.180,0.057,0.053
3484.434,-0.222,0.050
3488.688,0.184,0.053
3492.943,-0.057,0.051
3497.198,-0.125,0.052
3501.454,0.049,0.053
3505.709,-0.235,0.046
3509.965,-0.350,0.050
3514.222,0.123,0.053
3518.479,0.012,0.052
3522.736,-0.422,0.047
3526.993,-0.299,0.050
3531.251,-0.469,0.051
3535.509,-0.021,0.049
3539.768,-0.445,0.046
3544.027,-0.018,0.053
3548.286,-0.073,0.052
3552.546,-0.417,0.050
3556.806,-0.099,0.051
3561.066,-0.009,0.053
3565.326,-0.454,0.051
3569.587,0.034,0.051
3573.849,-0.104,0.050
3578.110,0.288,0.053
3582.372,-0.011,0.053
3586.635,0.158,0.051
3590.897,0.169,0.054
3595.160,-0.051,0.052
3599.423,-0.116,0.051
3603.687,-0.776,0.044
3607.951,0.175,0.053
3612.215,-0.340,0.052
3616.480,-0.031,0.054
3620.745,0.346,0.056
3625.010,-0.749,0.045
3629.276,0.045,0.054
3633.542,0.570,0.057
3637.809,-0.268,0.051
3642.075,0.034,0.054
3646.342,0.041,0.052
3650.610,0.143,0.052
3654.877,0.236,0.056
3659.145,-0.397,0.052
3663.414,-0.212,0.053
3667.682,0.413,0.055
3671.951,-0.580,0.049
3676.221,-0.564,0.052
3680.490,-0.561,0.050
3684.760,-0.249,0.049
3689.031,0.021,0.055
3693.301,0.022,0.053
3697.572,0.299,0.057
3701.844,0.124,0.056
3706.115,-0.074,0.052
3710.387,0.422,0.059
3714.660,0.179,0.053
3718.932,-0.189,0.056
3723.205,-0.386,0.049
3727.479,-0.567,0.047
3731.752,-0.170,0.054
3736.026,-0.067,0.055
3740.301,0.011,0.053
3744.575,0.488,0.060
3748.850,-0.765,0.048
3753.125,0.186,0.057
3757.401,-0.006,0.058
3761.677,-0.239,0.057
