wave,flux,error
4139.185,1.964e-10,9.786e-13
4143.488,1.965e-10,9.700e-13
4147.792,1.995e-10,9.692e-13
4152.096,1.970e-10,9.555e-13
4156.400,2.032e-10,9.622e-13
4160.704,2.022e-10,9.521e-13
4165.009,2.036e-10,9.474e-13
4169.314,2.014e-10,9.350e-13
4173.620,1.993e-10,9.231e-13
4177.925,1.967e-10,9.096e-13
4182.231,1.960e-10,9.006e-13
4186.537,1.968e-10,8.966e-13
4190.844,1.964e-10,8.880e-13
4195.151,1.956e-10,8.796e-13
4199.458,1.988e-10,8.803e-13
4203.765,2.004e-10,8.763e-13
4208.073,2.017e-10,8.726e-13
4212.381,2.062e-10,8.758e-13
4216.689,2.086e-10,8.739e-13
4220.997,2.058e-10,8.622e-13
4225.306,1.997e-10,8.437e-13
4229.615,1.935e-10,8.246e-13
4233.925,1.951e-10,8.213e-13
4238.234,1.980e-10,8.220e-13
4242.544,2.001e-10,8.202e-13
4246.854,2.039e-10,8.222e-13
4251.165,2.008e-10,8.105e-13
4255.476,2.004e-10,8.044e-13
4259.787,1.976e-10,7.936e-13
4264.098,1.973e-10,7.866e-13
4268.409,1.968e-10,7.806e-13
4272.721,1.948e-10,7.717e-13
4277.034,1.909e-10,7.592e-13
4281.346,1.925e-10,7.572e-13
4285.659,1.916e-10,7.500e-13
4289.972,1.842e-10,7.310e-13
4294.285,1.775e-10,7.137e-13
4298.599,1.667e-10,6.869e-13
4302.912,1.569e-10,6.629e-13
4307.227,1.578e-10,6.605e-13
4311.541,1.692e-10,6.790e-13
4315.856,1.865e-10,7.083e-13
4320.171,2.264e-10,7.738e-13
4324.486,2.405e-10,7.926e-13
4328.801,2.391e-10,7.858e-13
4333.117,2.398e-10,7.823e-13
4337.433,2.345e-10,7.689e-13
4341.749,2.262e-10,7.512e-13
4346.066,2.303e-10,7.532e-13
4350.383,2.458e-10,7.736e-13
4354.700,2.558e-10,7.847e-13
4359.017,2.642e-10,7.926e-13
4363.335,2.649e-10,7.891e-13
4367.653,2.677e-10,7.886e-13
4371.971,2.618e-10,7.761e-13
4376.290,2.518e-10,7.573e-13
4380.609,2.450e-10,7.429e-13
4384.928,2.389e-10,7.297e-13
4389.247,2.439e-10,7.331e-13
4393.566,2.493e-10,7.377e-13
4397.886,2.524e-10,7.381e-13
4402.206,2.614e-10,7.473e-13
4406.527,2.651e-10,7.488e-13
4410.847,2.735e-10,7.564e-13
4415.168,2.751e-10,7.552e-13
4419.490,2.842e-10,7.635e-13
4423.811,2.919e-10,7.697e-13
4428.133,2.888e-10,7.626e-13
4432.455,2.871e-10,7.564e-13
4436.777,2.836e-10,7.483e-13
4441.100,2.866e-10,7.487e-13
4445.422,2.859e-10,7.445e-13
4449.745,2.843e-10,7.389e-13
4454.069,2.751e-10,7.236e-13
4458.392,2.722e-10,7.169e-13
4462.716,2.748e-10,7.172e-13
4467.040,2.857e-10,7.278e-13
4471.365,2.961e-10,7.378e-13
4475.689,2.981e-10,7.373e-13
4480.014,2.986e-10,7.346e-13
4484.339,2.955e-10,7.278e-13
4488.665,2.977e-10,7.276e-13
4492.990,2.993e-10,7.267e-13
4497.316,3.034e-10,7.288e-13
4501.643,3.160e-10,7.406e-13
4505.969,3.195e-10,7.419e-13
4510.296,3.151e-10,7.337e-13
4514.623,3.122e-10,7.279e-13
4518.950,3.055e-10,7.172e-13
4523.278,2.999e-10,7.082e-13
4527.605,2.960e-10,7.012e-13
4531.933,2.892e-10,6.906e-13
4536.262,2.974e-10,6.976e-13
4540.590,3.020e-10,7.005e-13
4544.919,3.038e-10,7.003e-13
4549.248,3.054e-10,7.000e-13
4553.577,3.062e-10,6.983e-13
4557.907,3.093e-10,6.994e-13
4562.237,3.133e-10,7.017e-13
4566.567,3.183e-10,7.049e-13
4570.897,3.152e-10,6.991e-13
4575.228,3.176e-10,6.996e-13
4579.558,3.121e-10,6.912e-13
4583.890,3.120e-10,6.890e-13
4588.221,3.095e-10,6.840e-13
4592.553,3.113e-10,6.839e-13
4596.884,3.141e-10,6.848e-13
4601.216,3.165e-10,6.849e-13
4605.549,3.207e-10,6.873e-13
4609.881,3.287e-10,6.937e-13
4614.214,3.280e-10,6.910e-13
4618.547,3.298e-10,6.906e-13
4622.881,3.272e-10,6.858e-13
4627.214,3.286e-10,6.854e-13
4631.548,3.278e-10,6.822e-13
4635.882,3.239e-10,6.762e-13
4640.217,3.259e-10,6.763e-13
4644.551,3.182e-10,6.666e-13
4648.886,3.247e-10,6.712e-13
4653.221,3.194e-10,6.639e-13
4657.556,3.265e-10,6.689e-13
4661.892,3.244e-10,6.651e-13
4666.228,3.181e-10,6.568e-13
4670.564,3.185e-10,6.554e-13
4674.900,3.205e-10,6.554e-13
4679.237,3.226e-10,6.558e-13
4683.574,3.274e-10,6.587e-13
4687.911,3.287e-10,6.583e-13
4692.248,3.265e-10,6.541e-13
4696.586,3.247e-10,6.506e-13
4700.923,3.208e-10,6.450e-13
4705.261,3.186e-10,6.411e-13
4709.600,3.258e-10,6.464e-13
4713.938,3.314e-10,6.502e-13
4718.277,3.370e-10,6.539e-13
4722.616,3.367e-10,6.520e-13
4726.955,3.357e-10,6.494e-13
4731.295,3.329e-10,6.449e-13
4735.634,3.314e-10,6.419e-13
4739.974,3.355e-10,6.443e-13
4744.315,3.402e-10,6.469e-13
4748.655,3.402e-10,6.453e-13
4752.996,3.367e-10,6.404e-13
4757.337,3.306e-10,6.331e-13
4761.678,3.328e-10,6.336e-13
4766.019,3.343e-10,6.335e-13
4770.361,3.384e-10,6.358e-13
4774.703,3.464e-10,6.417e-13
4779.045,3.475e-10,6.411e-13
4783.387,3.466e-10,6.386e-13
4787.730,3.416e-10,6.326e-13
4792.073,3.441e-10,6.335e-13
4796.416,3.473e-10,6.348e-13
4800.759,3.482e-10,6.342e-13
4805.102,3.462e-10,6.311e-13
4809.446,3.474e-10,6.307e-13
4813.790,3.513e-10,6.328e-13
4818.134,3.500e-10,6.303e-13
4822.479,3.501e-10,6.290e-13
4826.823,3.451e-10,6.231e-13
4831.168,3.442e-10,6.209e-13
4835.514,3.427e-10,6.183e-13
4839.859,3.358e-10,6.107e-13
4844.205,3.297e-10,6.039e-13
4848.550,3.207e-10,5.943e-13
4852.896,3.062e-10,5.797e-13
4857.243,2.912e-10,5.642e-13
4861.589,2.862e-10,5.583e-13
4865.936,2.963e-10,5.669e-13
4870.283,3.091e-10,5.777e-13
4874.630,3.234e-10,5.898e-13
4878.978,3.244e-10,5.895e-13
4883.325,3.250e-10,5.887e-13
4887.673,3.271e-10,5.895e-13
4892.021,3.302e-10,5.911e-13
4896.370,3.412e-10,5.998e-13
4900.718,3.434e-10,6.007e-13
4905.067,3.380e-10,5.947e-13
4909.416,3.328e-10,5.892e-13
4913.765,3.245e-10,5.806e-13
4918.115,3.264e-10,5.814e-13
4922.465,3.273e-10,5.812e-13
4926.815,3.350e-10,5.868e-13
4931.165,3.389e-10,5.892e-13
4935.515,3.374e-10,5.868e-13
4939.866,3.391e-10,5.872e-13
4944.217,3.458e-10,5.920e-13
4948.568,3.454e-10,5.907e-13
4952.919,3.451e-10,5.895e-13
4957.270,3.425e-10,5.864e-13
4961.622,3.466e-10,5.888e-13
4965.974,3.485e-10,5.895e-13
4970.326,3.489e-10,5.889e-13
4974.678,3.462e-10,5.857e-13
4979.031,3.398e-10,5.793e-13
4983.384,3.395e-10,5.781e-13
4987.737,3.411e-10,5.788e-13
4992.090,3.455e-10,5.815e-13
4996.444,3.438e-10,5.792e-13
5000.797,3.369e-10,5.726e-13
5005.151,3.353e-10,5.703e-13
5009.505,3.331e-10,5.677e-13
5013.860,3.329e-10,5.667e-13
5018.214,3.357e-10,5.682e-13
5022.569,3.421e-10,5.728e-13
5026.924,3.448e-10,5.743e-13
5031.279,3.484e-10,5.764e-13
5035.635,3.434e-10,5.712e-13
5039.990,3.416e-10,5.691e-13
5044.346,3.497e-10,5.748e-13
5048.702,3.536e-10,5.771e-13
5053.058,3.564e-10,5.785e-13
5057.415,3.615e-10,5.818e-13
5061.772,3.589e-10,5.789e-13
5066.128,3.578e-10,5.771e-13
5070.486,3.509e-10,5.706e-13
5074.843,3.487e-10,5.682e-13
5079.200,3.474e-10,5.662e-13
5083.558,3.522e-10,5.693e-13
5087.916,3.567e-10,5.720e-13
5092.274,3.602e-10,5.740e-13
5096.633,3.546e-10,5.688e-13
5100.991,3.531e-10,5.667e-13
5105.350,3.550e-10,5.674e-13
5109.709,3.578e-10,5.688e-13
5114.068,3.622e-10,5.714e-13
5118.428,3.610e-10,5.696e-13
5122.787,3.549e-10,5.640e-13
5127.147,3.525e-10,5.612e-13
5131.507,3.495e-10,5.580e-13
5135.867,3.489e-10,5.567e-13
5140.228,3.491e-10,5.562e-13
5144.589,3.497e-10,5.557e-13
5148.949,3.516e-10,5.564e-13
5153.310,3.509e-10,5.551e-13
5157.672,3.433e-10,5.483e-13
5162.033,3.286e-10,5.357e-13
5166.395,3.146e-10,5.234e-13
5170.757,3.110e-10,5.197e-13
5175.119,3.213e-10,5.273e-13
5179.481,3.265e-10,5.308e-13
5183.844,3.292e-10,5.323e-13
5188.206,3.337e-10,5.351e-13
5192.569,3.441e-10,5.425e-13
5196.932,3.520e-10,5.478e-13
5201.296,3.513e-10,5.465e-13
5205.659,3.539e-10,5.476e-13
5210.023,3.543e-10,5.473e-13
5214.387,3.567e-10,5.483e-13
5218.751,3.568e-10,5.476e-13
5223.115,3.543e-10,5.450e-13
5227.480,3.516e-10,5.422e-13
5231.844,3.575e-10,5.460e-13
5236.209,3.650e-10,5.509e-13
5240.574,3.674e-10,5.520e-13
5244.939,3.696e-10,5.530e-13
5249.305,3.661e-10,5.497e-13
5253.671,3.602e-10,5.445e-13
5258.037,3.525e-10,5.381e-13
5262.403,3.424e-10,5.298e-13
5266.769,3.356e-10,5.240e-13
5271.135,3.425e-10,5.287e-13
5275.502,3.534e-10,5.364e-13
5279.869,3.667e-10,5.458e-13
5284.236,3.731e-10,5.500e-13
5288.603,3.741e-10,5.501e-13
5292.970,3.716e-10,5.477e-13
5297.338,3.721e-10,5.476e-13
5301.706,3.744e-10,5.488e-13
5306.074,3.782e-10,5.510e-13
5310.442,3.807e-10,5.523e-13
5314.810,3.737e-10,5.468e-13
5319.179,3.656e-10,5.404e-13
5323.548,3.593e-10,5.352e-13
5327.917,3.585e-10,5.342e-13
5332.286,3.641e-10,5.380e-13
5336.655,3.674e-10,5.400e-13
5341.025,3.677e-10,5.398e-13
5345.394,3.725e-10,5.429e-13
5349.764,3.758e-10,5.450e-13
5354.134,3.751e-10,5.442e-13
5358.505,3.767e-10,5.450e-13
5362.875,3.709e-10,5.405e-13
5367.246,3.638e-10,5.350e-13
5371.616,3.673e-10,5.373e-13
5375.988,3.667e-10,5.365e-13
5380.359,3.681e-10,5.373e-13
5384.730,3.642e-10,5.341e-13
5389.102,3.599e-10,5.308e-13
5393.473,3.539e-10,5.261e-13
5397.845,3.508e-10,5.236e-13
5402.217,3.476e-10,5.210e-13
5406.590,3.461e-10,5.198e-13
5410.962,3.490e-10,5.218e-13
5415.335,3.516e-10,5.236e-13
5419.708,3.533e-10,5.246e-13
5424.081,3.499e-10,5.218e-13
5428.454,3.520e-10,5.231e-13
5432.827,3.544e-10,5.246e-13
5437.201,3.589e-10,5.277e-13
5441.575,3.636e-10,5.308e-13
5445.949,3.682e-10,5.339e-13
5450.323,3.724e-10,5.364e-13
5454.697,3.751e-10,5.381e-13
5459.071,3.768e-10,5.388e-13
5463.446,3.771e-10,5.387e-13
5467.821,3.769e-10,5.381e-13
5472.196,3.779e-10,5.383e-13
5476.571,3.767e-10,5.370e-13
5480.946,3.772e-10,5.368e-13
5485.322,3.811e-10,5.391e-13
5489.698,3.838e-10,5.404e-13
5494.074,3.842e-10,5.400e-13
5498.450,3.821e-10,5.380e-13
5502.826,3.830e-10,5.380e-13
5507.202,3.797e-10,5.351e-13
5511.579,3.833e-10,5.369e-13
5515.956,3.818e-10,5.351e-13
5520.332,3.821e-10,5.347e-13
5524.710,3.807e-10,5.330e-13
5529.087,3.797e-10,5.316e-13
5533.464,3.818e-10,5.323e-13
5537.842,3.829e-10,5.324e-13
5542.220,3.860e-10,5.340e-13
5546.598,3.847e-10,5.325e-13
5550.976,3.865e-10,5.332e-13
5555.354,3.824e-10,5.298e-13
5559.733,3.816e-10,5.288e-13
5564.111,3.773e-10,5.254e-13
5568.490,3.766e-10,5.244e-13
5572.869,3.768e-10,5.242e-13
5577.248,3.758e-10,5.230e-13
5581.627,3.726e-10,5.205e-13
5586.007,3.693e-10,5.179e-13
5590.387,3.689e-10,5.173e-13
5594.766,3.720e-10,5.192e-13
5599.146,3.764e-10,5.220e-13
5603.527,3.779e-10,5.228e-13
5607.907,3.809e-10,5.247e-13
5612.287,3.805e-10,5.243e-13
5616.668,3.807e-10,5.244e-13
5621.049,3.802e-10,5.239e-13
5625.430,3.822e-10,5.251e-13
5629.811,3.825e-10,5.252e-13
5634.192,3.828e-10,5.254e-13
5638.574,3.835e-10,5.258e-13
5642.955,3.842e-10,5.261e-13
5647.337,3.801e-10,5.233e-13
5651.719,3.780e-10,5.217e-13
5656.101,3.772e-10,5.211e-13
5660.483,3.790e-10,5.223e-13
5664.866,3.809e-10,5.236e-13
5669.248,3.849e-10,5.261e-13
5673.631,3.846e-10,5.259e-13
5678.014,3.817e-10,5.238e-13
5682.397,3.814e-10,5.235e-13
5686.780,3.794e-10,5.220e-13
5691.164,3.799e-10,5.223e-13
5695.547,3.781e-10,5.209e-13
5699.931,3.740e-10,5.180e-13
