wave,inten,std
3420.660,0.530,0.152
3424.909,0.249,0.146
3429.159,-0.108,0.109
3433.409,1.261,0.176
3437.659,1.000,0.101
3441.909,1.561,0.186
3446.160,-2.025,nan
3450.411,0.037,0.105
3454.663,1.204,0.121
3458.915,1.011,0.125
3463.167,0.125,0.146
3467.420,1.493,0.154
3471.673,1.091,nan
3475.926,1.091,0.175
3480.180,-1.120,nan
3484.434,1.961,0.199
3488.688,-2.492,nan
3492.943,0.215,0.143
3497.198,-0.174,0.065
3501.454,3.236,0.188
3505.709,0.009,0.070
3509.965,2.125,0.170
3514.222,0.362,0.083
3518.479,0.317,0.107
3522.736,0.031,nan
3526.993,-1.064,nan
3531.251,-4.776,nan
3535.509,2.790,0.201
3539.768,0.883,0.143
3544.027,-1.152,nan
3548.286,0.489,0.156
3552.546,0.409,0.042
3556.806,0.474,0.197
3561.066,4.454,0.227
3565.326,0.944,0.135
3569.587,-2.646,nan
3573.849,3.180,0.225
3578.110,0.954,0.144
3582.372,2.827,0.239
3586.635,-3.175,nan
3590.897,-1.296,nan
3595.160,0.616,0.131
3599.423,1.419,0.135
3603.687,-0.478,0.044
3607.951,1.754,0.179
3612.215,-0.401,0.156
3616.480,0.339,0.119
3620.745,2.518,0.250
3625.010,-3.477,nan
3629.276,2.392,0.207
3633.542,0.954,0.160
3637.809,0.472,0.133
3642.075,-0.005,0.180
3646.342,1.339,0.178
3650.610,0.620,0.219
3654.877,0.352,0.200
3659.145,2.082,0.219
3663.414,2.109,0.219
3667.682,0.159,0.164
3671.951,2.902,0.240
3676.221,1.106,0.176
3680.490,2.521,0.250
3684.760,1.713,0.189
3689.031,0.899,0.234
3693.301,1.536,0.198
3697.572,2.210,0.236
3701.844,0.493,0.161
3706.115,3.817,0.245
3710.387,2.911,0.230
3714.660,2.700,0.274
3718.932,2.995,0.276
3723.205,1.630,0.207
3727.479,3.701,0.267
3731.752,2.044,0.285
3736.026,3.171,0.240
3740.301,1.118,0.220
3744.575,1.003,0.189
3748.850,3.863,0.279
3753.125,1.045,0.267
3757.401,4.084,0.246
3761.677,3.306,0.317
3765.953,3.172,0.297
3770.230,4.346,0.355
3774.507,4.017,0.326
3778.784,5.913,0.359
3783.061,5.725,0.374
3787.339,3.786,0.306
3791.617,7.922,0.420
3795.896,4.335,0.380
3800.175,6.963,0.428
3804.454,5.486,0.360
3808.733,6.391,0.351
3813.013,2.079,0.328
3817.293,8.522,0.444
3821.574,4.215,0.343
3825.854,8.696,0.439
3830.135,6.332,0.410
3834.417,5.196,0.377
3838.698,8.894,0.449
3842.980,7.267,0.455
3847.263,7.055,0.414
3851.545,6.800,0.413
3855.828,7.912,0.460
3860.112,9.247,0.509
3864.395,8.308,0.470
3868.679,8.890,0.486
3872.963,12.507,0.527
3877.248,11.608,0.539
3881.533,10.694,0.509
3885.818,10.331,0.521
3890.103,11.067,0.516
3894.389,13.747,0.577
3898.675,9.746,0.542
3902.962,14.582,0.620
3907.249,15.695,0.607
3911.536,16.248,0.622
3915.823,13.819,0.613
3920.111,16.254,0.622
3924.399,14.301,0.617
3928.687,16.936,0.635
3932.975,15.406,0.620
3937.264,20.487,0.656
3941.554,16.972,0.637
3945.843,19.346,0.663
3950.133,14.967,0.628
3954.423,21.064,0.699
3958.713,17.988,0.671
3963.004,18.360,0.690
3967.295,19.612,0.707
3971.587,21.799,0.727
3975.878,22.163,0.727
3980.170,24.522,0.749
3984.463,26.343,0.793
3988.755,29.235,0.837
3993.048,34.094,0.890
3997.341,36.539,0.920
4001.635,35.176,0.927
4005.929,33.849,0.929
4010.223,36.990,0.967
4014.517,39.649,0.982
4018.812,40.583,0.991
4023.107,44.056,1.022
4027.402,42.094,1.020
4031.698,42.375,1.014
4035.994,41.537,1.026
4040.290,44.802,1.066
4044.586,42.292,1.055
4048.883,56.710,1.128
4053.180,46.232,1.077
4057.478,48.563,1.082
4061.775,44.302,1.066
4066.073,51.322,1.096
4070.372,51.247,1.107
4074.670,54.706,1.116
4078.969,52.879,1.114
4083.268,52.522,1.152
4087.568,59.803,1.172
4091.868,56.386,1.156
4096.168,58.871,1.170
4100.468,55.605,1.166
4104.769,61.678,1.186
4109.070,57.868,1.175
4113.371,64.275,1.221
4117.673,61.967,1.232
4121.975,68.297,1.273
4126.277,65.282,1.244
4130.579,71.680,1.288
4134.882,71.734,1.278
4139.185,72.435,1.301
4143.488,74.203,1.317
4147.792,75.219,1.313
4152.096,76.755,1.325
4156.400,78.357,1.347
4160.704,75.057,1.328
4165.009,73.921,1.325
4169.314,85.023,1.374
4173.620,81.778,1.368
4177.925,82.034,1.381
4182.231,80.490,1.372
4186.537,87.844,1.409
4190.844,81.368,1.387
4195.151,87.524,1.416
4199.458,88.151,1.447
4203.765,89.806,1.447
4208.073,87.636,1.450
4212.381,96.619,1.488
4216.689,97.345,1.471
4220.997,91.241,1.481
4225.306,91.732,1.486
4229.615,97.209,1.527
4233.925,96.576,1.516
4238.234,100.419,1.546
4242.544,102.147,1.559
4246.854,108.156,1.583
4251.165,105.587,1.576
4255.476,108.786,1.606
4259.787,108.080,1.588
4264.098,116.967,1.639
4268.409,107.873,1.617
4272.721,104.907,1.612
4277.034,109.596,1.641
4281.346,109.632,1.648
4285.659,110.415,1.648
4289.972,104.511,1.628
4294.285,107.393,1.650
4298.599,104.915,1.642
4302.912,99.871,1.601
4307.227,102.307,1.626
4311.541,102.793,1.648
4315.856,118.233,1.742
4320.171,122.747,1.798
4324.486,135.801,1.854
4328.801,137.789,1.871
4333.117,138.420,1.888
4337.433,137.274,1.891
4341.749,136.085,1.915
4346.066,141.444,1.955
4350.383,146.208,2.010
4354.700,155.755,2.096
4359.017,149.338,2.116
4363.335,163.350,2.162
4367.653,161.576,2.113
4371.971,165.813,2.114
4376.290,160.631,2.108
4380.609,154.842,2.098
4384.928,164.188,2.107
4389.247,155.141,2.111
4393.566,160.038,2.137
4397.886,169.126,2.198
4402.206,177.773,2.234
4406.527,180.892,2.271
4410.847,186.483,2.299
4415.168,184.020,2.306
4419.490,192.519,2.363
4423.811,198.443,2.394
4428.133,201.970,2.411
4432.455,200.059,2.418
4436.777,194.645,2.426
4441.100,203.549,2.463
4445.422,210.816,2.490
4449.745,199.290,2.472
4454.069,207.146,2.513
4458.392,201.180,2.506
4462.716,212.360,2.540
4467.040,216.945,2.572
4471.365,230.462,2.616
4475.689,237.291,2.646
4480.014,227.021,2.633
4484.339,235.392,2.657
4488.665,234.193,2.667
4492.990,241.367,2.688
4497.316,253.164,2.717
4501.643,261.341,2.760
4505.969,268.826,2.780
4510.296,268.915,2.777
4514.623,268.467,2.759
4518.950,265.847,2.764
4523.278,259.692,2.739
4527.605,265.681,2.737
4531.933,248.867,2.698
4536.262,268.103,2.729
