wave,flux,error
4139.185,4.457e-13,6.671e-15
4143.488,4.315e-13,6.698e-15
4147.792,4.154e-13,6.554e-15
4152.096,4.187e-13,6.504e-15
4156.400,4.177e-13,6.437e-15
4160.704,4.364e-13,6.457e-15
4165.009,4.322e-13,6.434e-15
4169.314,3.958e-13,6.250e-15
4173.620,4.191e-13,6.270e-15
4177.925,4.263e-13,6.141e-15
4182.231,3.808e-13,5.971e-15
4186.537,4.114e-13,6.095e-15
4190.844,4.271e-13,6.043e-15
4195.151,3.972e-13,5.906e-15
4199.458,4.044e-13,5.898e-15
4203.765,3.917e-13,5.812e-15
4208.073,4.147e-13,5.881e-15
4212.381,4.043e-13,5.774e-15
4216.689,4.065e-13,5.802e-15
4220.997,4.262e-13,5.751e-15
4225.306,3.999e-13,5.645e-15
4229.615,3.908e-13,5.572e-15
4233.925,3.911e-13,5.517e-15
4238.234,3.997e-13,5.547e-15
4242.544,4.090e-13,5.500e-15
4246.854,4.164e-13,5.548e-15
4251.165,4.081e-13,5.495e-15
4255.476,4.094e-13,5.477e-15
4259.787,4.142e-13,5.435e-15
4264.098,4.215e-13,5.442e-15
4268.409,4.069e-13,5.334e-15
4272.721,3.870e-13,5.243e-15
4277.034,3.950e-13,5.237e-15
4281.346,3.750e-13,5.111e-15
4285.659,3.905e-13,5.117e-15
4289.972,3.794e-13,5.100e-15
4294.285,3.646e-13,5.008e-15
4298.599,3.414e-13,4.821e-15
4302.912,3.473e-13,4.750e-15
4307.227,3.279e-13,4.751e-15
4311.541,3.488e-13,4.834e-15
4315.856,3.666e-13,4.947e-15
4320.171,3.897e-13,5.065e-15
4324.486,4.184e-13,5.120e-15
4328.801,4.036e-13,5.042e-15
4333.117,4.085e-13,5.046e-15
4337.433,4.143e-13,5.052e-15
4341.749,4.066e-13,5.008e-15
4346.066,4.205e-13,5.085e-15
4350.383,4.266e-13,5.164e-15
4354.700,4.454e-13,5.300e-15
4359.017,4.403e-13,5.333e-15
4363.335,4.483e-13,5.314e-15
4367.653,4.475e-13,5.196e-15
4371.971,4.352e-13,5.052e-15
4376.290,4.438e-13,5.049e-15
4380.609,4.214e-13,4.980e-15
4384.928,4.246e-13,4.901e-15
4389.247,4.037e-13,4.877e-15
4393.566,4.347e-13,4.962e-15
4397.886,4.314e-13,4.967e-15
4402.206,4.381e-13,4.991e-15
4406.527,4.488e-13,4.997e-15
4410.847,4.471e-13,5.014e-15
4415.168,4.401e-13,4.971e-15
4419.490,4.709e-13,5.077e-15
4423.811,4.679e-13,5.056e-15
4428.133,4.648e-13,5.054e-15
4432.455,4.760e-13,5.078e-15
4436.777,4.735e-13,5.034e-15
4441.100,4.672e-13,5.004e-15
4445.422,4.663e-13,5.000e-15
4449.745,4.742e-13,5.009e-15
4454.069,4.525e-13,4.904e-15
4458.392,4.622e-13,4.952e-15
4462.716,4.507e-13,4.917e-15
4467.040,4.693e-13,4.967e-15
4471.365,4.756e-13,4.970e-15
4475.689,4.892e-13,4.997e-15
4480.014,4.776e-13,4.939e-15
4484.339,4.928e-13,4.956e-15
4488.665,4.934e-13,4.944e-15
4492.990,4.921e-13,4.934e-15
4497.316,5.218e-13,4.994e-15
4501.643,5.312e-13,4.985e-15
4505.969,5.385e-13,4.962e-15
4510.296,5.350e-13,4.942e-15
4514.623,5.119e-13,4.869e-15
4518.950,5.213e-13,4.832e-15
4523.278,5.105e-13,4.779e-15
4527.605,4.984e-13,4.713e-15
4531.933,4.908e-13,4.657e-15
4536.262,5.128e-13,4.682e-15
4540.590,5.208e-13,4.666e-15
4544.919,5.166e-13,4.615e-15
4549.248,5.173e-13,4.580e-15
4553.577,5.170e-13,4.523e-15
4557.907,5.292e-13,4.575e-15
4562.237,5.279e-13,4.519e-15
4566.567,5.444e-13,4.509e-15
4570.897,5.503e-13,4.508e-15
4575.228,5.550e-13,4.487e-15
4579.558,5.447e-13,4.434e-15
4583.890,5.371e-13,4.368e-15
4588.221,5.306e-13,4.326e-15
4592.553,5.427e-13,4.343e-15
4596.884,5.545e-13,4.325e-15
4601.216,5.500e-13,4.304e-15
4605.549,5.602e-13,4.320e-15
4609.881,5.825e-13,4.347e-15
4614.214,5.873e-13,4.324e-15
4618.547,5.817e-13,4.299e-15
4622.881,5.944e-13,4.300e-15
4627.214,5.985e-13,4.287e-15
4631.548,5.878e-13,4.245e-15
4635.882,5.750e-13,4.183e-15
4640.217,5.791e-13,4.167e-15
4644.551,5.772e-13,4.134e-15
4648.886,5.708e-13,4.126e-15
4653.221,5.803e-13,4.117e-15
4657.556,5.883e-13,4.122e-15
4661.892,5.808e-13,4.085e-15
4666.228,5.877e-13,4.076e-15
4670.564,5.798e-13,4.043e-15
4674.900,5.954e-13,4.061e-15
4679.237,5.934e-13,4.032e-15
4683.574,6.110e-13,4.077e-15
4687.911,6.040e-13,4.043e-15
4692.248,5.987e-13,4.005e-15
4696.586,6.011e-13,3.989e-15
4700.923,5.868e-13,3.940e-15
4705.261,6.016e-13,3.950e-15
4709.600,6.205e-13,3.982e-15
4713.938,6.161e-13,3.967e-15
4718.277,6.409e-13,4.002e-15
4722.616,6.396e-13,3.998e-15
4726.955,6.308e-13,3.966e-15
4731.295,6.344e-13,3.959e-15
4735.634,6.412e-13,3.980e-15
4739.974,6.378e-13,3.944e-15
4744.315,6.589e-13,3.981e-15
4748.655,6.459e-13,3.925e-15
4752.996,6.635e-13,3.954e-15
4757.337,6.437e-13,3.889e-15
4761.678,6.422e-13,3.866e-15
4766.019,6.503e-13,3.876e-15
4770.361,6.669e-13,3.913e-15
4774.703,6.825e-13,3.931e-15
4779.045,6.827e-13,3.935e-15
4783.387,6.806e-13,3.920e-15
4787.730,6.752e-13,3.878e-15
4792.073,6.859e-13,3.902e-15
4796.416,6.974e-13,3.922e-15
4800.759,6.872e-13,3.884e-15
4805.102,6.949e-13,3.898e-15
4809.446,7.312e-13,3.968e-15
4813.790,7.180e-13,3.942e-15
4818.134,7.433e-13,3.991e-15
4822.479,7.803e-13,4.059e-15
4826.823,7.492e-13,3.988e-15
4831.168,7.604e-13,3.994e-15
4835.514,7.644e-13,4.002e-15
4839.859,7.188e-13,3.883e-15
4844.205,7.082e-13,3.851e-15
4848.550,6.808e-13,3.768e-15
4852.896,6.603e-13,3.708e-15
4857.243,5.934e-13,3.533e-15
4861.589,5.963e-13,3.528e-15
4865.936,6.201e-13,3.574e-15
4870.283,6.363e-13,3.626e-15
4874.630,7.179e-13,3.809e-15
