wave,inten,std
3420.660,13.253,6.216
3424.909,-8.379,5.936
3429.159,4.844,6.017
3433.409,11.947,6.111
3437.659,21.347,6.444
3441.909,3.360,6.113
3446.160,29.274,6.455
3450.411,24.144,6.380
3454.663,12.314,6.228
3458.915,29.250,6.470
3463.167,22.548,6.480
3467.420,17.848,6.207
3471.673,14.703,6.399
3475.926,6.451,6.190
3480.180,2.153,6.066
3484.434,10.625,6.214
3488.688,22.911,6.456
3492.943,31.613,6.387
3497.198,16.706,6.417
3501.454,0.838,6.145
3505.709,4.915,6.244
3509.965,20.123,6.299
3514.222,14.020,6.360
3518.479,18.257,6.354
3522.736,21.653,6.460
3526.993,16.625,6.275
3531.251,11.678,6.121
3535.509,39.260,6.628
3539.768,10.705,6.287
3544.027,41.972,6.566
3548.286,30.791,6.509
3552.546,23.908,6.504
3556.806,41.377,6.626
3561.066,32.273,6.586
3565.326,24.972,6.562
3569.587,42.503,6.947
3573.849,28.672,6.708
3578.110,62.086,7.130
3582.372,43.859,6.917
3586.635,40.396,6.970
3590.897,37.880,6.784
3595.160,58.483,7.226
3599.423,41.401,6.859
3603.687,67.269,7.276
3607.951,71.014,7.341
3612.215,68.309,7.250
3616.480,80.654,7.619
3620.745,100.268,7.765
3625.010,64.447,7.501
3629.276,92.075,7.680
3633.542,70.680,7.528
3637.809,115.713,8.060
3642.075,95.848,7.896
3646.342,117.209,8.247
3650.610,100.694,8.038
3654.877,118.611,8.212
3659.145,136.064,8.233
3663.414,143.694,8.621
3667.682,166.478,8.895
3671.951,201.613,9.316
3676.221,198.062,9.236
3680.490,191.183,9.154
3684.760,214.191,9.454
3689.031,233.863,9.703
3693.301,241.962,9.959
3697.572,257.509,10.106
3701.844,267.800,10.303
3706.115,300.082,10.642
3710.387,291.845,10.582
3714.660,333.092,10.982
3718.932,355.822,11.367
3723.205,412.071,11.796
3727.479,407.534,11.788
3731.752,438.153,12.122
3736.026,520.903,12.961
3740.301,523.308,12.921
3744.575,581.470,13.515
3748.850,638.417,14.055
3753.125,666.348,14.270
3757.401,725.791,14.760
3761.677,747.265,15.057
3765.953,862.170,15.905
3770.230,890.880,16.146
3774.507,952.489,16.578
3778.784,1014.082,17.040
3783.061,1022.059,17.147
3787.339,1100.489,17.667
3791.617,1226.752,18.653
3795.896,1421.141,19.908
3800.175,1477.575,20.138
3804.454,1521.200,20.462
3808.733,1569.255,20.673
3813.013,1681.164,21.392
3817.293,1686.729,21.441
3821.574,1818.077,22.224
3825.854,1894.214,22.587
3830.135,2015.969,23.350
3834.417,2079.322,23.593
3838.698,2208.898,24.316
3842.980,2329.060,24.947
3847.263,2498.094,25.728
3851.545,2591.255,26.193
3855.828,2989.493,28.037
3860.112,3159.657,28.771
3864.395,3283.713,29.330
3868.679,3441.472,29.986
3872.963,3487.949,30.215
3877.248,3416.282,29.867
3881.533,3474.433,30.127
3885.818,3482.358,30.173
3890.103,3502.969,30.305
3894.389,3622.197,30.722
3898.675,3768.045,31.349
3902.962,3999.713,32.193
3907.249,4385.574,33.752
3911.536,4808.568,35.253
3915.823,5225.501,36.715
3920.111,5540.715,37.770
3924.399,5798.743,38.612
3928.687,5958.156,39.127
3932.975,6081.536,39.502
3937.264,6285.746,40.150
3941.554,6499.422,40.809
3945.843,6537.600,40.968
3950.133,6598.489,41.129
3954.423,6656.471,41.312
3958.713,6408.228,40.536
3963.004,6142.657,39.704
3967.295,6212.931,39.953
3971.587,6157.277,39.774
3975.878,6181.697,39.861
3980.170,6383.081,40.517
3984.463,7105.935,42.668
3988.755,7802.147,44.646
3993.048,8508.930,46.626
3997.341,9125.825,48.204
4001.635,9224.257,48.472
4005.929,9641.593,49.557
4010.223,9898.245,50.202
4014.517,10235.183,51.008
4018.812,10695.449,52.138
4023.107,11227.597,53.412
4027.402,11590.320,54.256
4031.698,12095.654,55.366
4035.994,12261.745,55.770
4040.290,12746.652,56.836
4044.586,13283.250,58.011
4048.883,13587.982,58.645
4053.180,13853.189,59.242
4057.478,14378.514,60.349
4061.775,14355.392,60.268
4066.073,14512.539,60.620
4070.372,15044.309,61.711
4074.670,15185.401,61.990
4078.969,15062.343,61.753
4083.268,14758.483,61.119
4087.568,14332.409,60.267
4091.868,13549.113,58.613
4096.168,12829.151,57.077
4100.468,12160.258,55.528
4104.769,11615.695,54.318
4109.070,11956.159,55.115
4113.371,13604.301,58.731
4117.673,15385.243,62.419
4121.975,16666.991,64.919
4126.277,17315.054,66.152
4130.579,18054.724,67.542
4134.882,18269.560,67.947
4139.185,18689.563,68.708
4143.488,19055.826,69.376
4147.792,19125.416,69.491
4152.096,19237.313,69.703
4156.400,19931.156,70.929
4160.704,20339.670,71.661
4165.009,20281.454,71.561
4169.314,20500.604,71.960
4173.620,20546.650,72.019
4177.925,20732.981,72.324
4182.231,20823.511,72.486
4186.537,21330.437,73.380
4190.844,21477.289,73.633
4195.151,21959.875,74.431
4199.458,21762.733,74.118
4203.765,22335.494,75.055
4208.073,22328.977,75.080
4212.381,22776.416,75.791
4216.689,22510.256,75.360
4220.997,22803.799,75.832
4225.306,22620.278,75.552
4229.615,23194.843,76.502
4233.925,23277.100,76.619
4238.234,23645.038,77.209
4242.544,23589.989,77.120
4246.854,23673.128,77.269
4251.165,23890.664,77.620
4255.476,24432.774,78.490
4259.787,24416.199,78.463
4264.098,24701.621,78.913
4268.409,24690.504,78.907
4272.721,25007.527,79.388
4277.034,24715.332,78.938
4281.346,25261.971,79.804
4285.659,25210.235,79.736
4289.972,25648.102,80.406
4294.285,25730.664,80.550
4298.599,25857.864,80.727
4302.912,25518.594,80.215
4307.227,25983.401,80.949
4311.541,25683.240,80.479
4315.856,25994.724,80.963
4320.171,25672.307,80.464
4324.486,24695.767,78.932
4328.801,23314.381,76.729
4333.117,21647.873,73.964
4337.433,19711.594,70.616
4341.749,18550.732,68.529
4346.066,19408.758,70.084
4350.383,22037.759,74.650
4354.700,24911.658,79.325
4359.017,26412.162,81.685
4363.335,27384.713,83.122
4367.653,27827.770,83.821
4371.971,28135.368,84.262
4376.290,28305.524,84.503
4380.609,28273.734,84.465
4384.928,28420.619,84.681
4389.247,28296.286,84.511
4393.566,28368.610,84.631
4397.886,28660.311,85.060
4402.206,29145.124,85.729
4406.527,29405.437,86.157
4410.847,29646.053,86.533
4415.168,29470.053,86.278
4419.490,29814.214,86.768
4423.811,30494.369,87.716
4428.133,29614.259,86.450
4432.455,29873.660,86.861
4436.777,30229.966,87.345
4441.100,30075.130,87.140
4445.422,29687.548,86.610
4449.745,30144.011,87.246
4454.069,30306.431,87.465
4458.392,29860.895,86.829
4462.716,29769.378,86.698
4467.040,29545.585,86.416
4471.365,29321.608,86.050
4475.689,29362.462,86.124
4480.014,29989.841,87.036
4484.339,30229.463,87.399
4488.665,30891.504,88.309
4492.990,30640.030,87.968
4497.316,31105.807,88.635
4501.643,31158.826,88.708
4505.969,31201.824,88.769
4510.296,31625.519,89.358
4514.623,31506.448,89.158
4518.950,31364.326,89.037
4523.278,31229.709,88.810
4527.605,31409.987,89.072
4531.933,31504.305,89.185
4536.262,32286.975,90.273
4540.590,32194.134,90.142
4544.919,32120.507,90.034
4549.248,32119.288,90.043
4553.577,32246.131,90.199
4557.907,32661.435,90.774
4562.237,32471.520,90.518
4566.567,32844.289,91.010
4570.897,33352.592,91.727
4575.228,32829.278,90.998
4579.558,32889.558,91.089
4583.890,32812.576,90.985
4588.221,33399.112,91.780
4592.553,33195.318,91.497
4596.884,33456.319,91.839
4601.216,33514.091,91.937
4605.549,33654.690,92.106
4609.881,33889.228,92.433
4614.214,34128.810,92.745
4618.547,34489.076,93.232
4622.881,34200.631,92.848
4627.214,34030.138,92.620
4631.548,34118.823,92.726
4635.882,34090.820,92.707
4640.217,34919.561,93.809
4644.551,34766.226,93.605
4648.886,35277.273,94.293
4653.221,34803.495,93.639
4657.556,35650.198,94.758
4661.892,35643.581,94.759
4666.228,35696.105,94.820
4670.564,35414.727,94.471
4674.900,35593.707,94.706
4679.237,35856.524,95.032
4683.574,36097.254,95.352
4687.911,35949.010,95.155
4692.248,35921.432,95.115
4696.586,35948.984,95.168
4700.923,36118.834,95.398
4705.261,36149.074,95.410
4709.600,36448.226,95.809
4713.938,36445.020,95.790
4718.277,36452.167,95.815
4722.616,36461.931,95.828
4726.955,36597.118,96.003
4731.295,36558.273,95.955
4735.634,36810.673,96.291
4739.974,36395.611,95.746
4744.315,36936.068,96.453
4748.655,36664.375,96.082
4752.996,36745.639,96.207
4757.337,36862.897,96.347
4761.678,37023.686,96.557
4766.019,37101.576,96.658
4770.361,36969.227,96.495
4774.703,37297.734,96.905
4779.045,37414.227,97.053
4783.387,37386.658,97.013
4787.730,37207.010,96.797
4792.073,37354.838,96.998
4796.416,37667.183,97.405
4800.759,37494.137,97.156
4805.102,37652.469,97.365
4809.446,37599.603,97.302
4813.790,38169.872,98.021
4818.134,37685.310,97.407
4822.479,37748.981,97.497
4826.823,37987.619,97.809
4831.168,37346.403,96.981
4835.514,37095.001,96.666
4839.859,36157.260,95.427
4844.205,34978.703,93.856
4848.550,32524.506,90.520
4852.896,29312.932,85.990
4857.243,26637.430,82.001
4861.589,26048.422,81.102
4865.936,28453.472,84.728
4870.283,32159.462,90.040
4874.630,34669.892,93.462
4878.978,36348.014,95.674
4883.325,36737.869,96.205
4887.673,36731.308,96.180
4892.021,37492.742,97.146
4896.370,37738.540,97.468
4900.718,37776.523,97.528
4905.067,38050.598,97.892
4909.416,37909.068,97.703
4913.765,37822.395,97.577
4918.115,37310.413,96.943
4922.465,37771.572,97.543
4926.815,37771.571,97.538
4931.165,37811.729,97.576
4935.515,38294.911,98.195
4939.866,38161.302,98.046
4944.217,38217.105,98.104
4948.568,38264.618,98.164
4952.919,38575.042,98.558
4957.270,38363.004,98.279
4961.622,38356.773,98.307
4965.974,38897.648,98.966
4970.326,38731.200,98.755
4974.678,38965.802,99.072
4979.031,38925.750,99.021
4983.384,39051.769,99.159
4987.737,38933.002,99.011
4992.090,39317.016,99.486
4996.444,39192.402,99.317
5000.797,38637.619,98.643
5005.151,38936.282,99.035
5009.505,39152.829,99.285
5013.860,38953.944,99.056
5018.214,38767.057,98.821
5022.569,38687.205,98.698
5026.924,38803.265,98.844
5031.279,38979.803,99.076
5035.635,39081.686,99.197
5039.990,38870.997,98.956
5044.346,38915.975,99.000
5048.702,39119.924,99.269
5053.058,38961.588,99.099
5057.415,39280.661,99.483
5061.772,39300.941,99.479
5066.128,39712.336,100.005
5070.486,39444.679,99.672
5074.843,39478.318,99.720
5079.200,39746.307,100.057
5083.558,39357.774,99.568
5087.916,39814.918,100.140
5092.274,39629.125,99.929
5096.633,39538.912,99.789
5100.991,39719.496,100.021
5105.350,39777.125,100.087
5109.709,40118.744,100.518
5114.068,40061.059,100.461
5118.428,39796.897,100.133
5122.787,39755.412,100.081
5127.147,40012.186,100.399
5131.507,39914.554,100.278
5135.867,40040.831,100.435
5140.228,40366.996,100.810
5144.589,40203.141,100.651
5148.949,39887.929,100.222
5153.310,40037.040,100.423
5157.672,39715.878,100.037
5162.033,39982.333,100.367
5166.395,39987.939,100.349
5170.757,40010.393,100.385
5175.119,40100.345,100.494
5179.481,39863.363,100.224
5183.844,40055.306,100.457
