x_pix,ap_summed,ap_std
0,1380.9685330082546,238.69937122294607
1,1022.9351002377607,229.08298306246928
2,761.6037333993233,234.81941368201313
3,1209.2291840066964,229.94894073929845
4,2113.7982822074296,240.07820294743826
5,1933.1180990508437,238.8135190207159
6,2009.895671102429,235.8580168835187
7,1300.864610111928,232.02241757851482
8,1394.1357884420484,236.0506897380335
9,1869.5629793397468,242.20822023306403
10,399.86921323593566,230.24151227493465
11,2201.20378734435,242.4395661165238
12,689.3396416959763,234.51447791059417
13,465.45980266905514,227.5779904725609
14,1245.763163607776,230.87389814324587
15,1502.759567060369,239.59931421981656
16,1143.2500030265435,245.21508021250753
17,1015.0850742985534,231.3300543318852
18,1769.4674501464947,243.17796820922527
19,1391.3902607460298,234.7816347870466
20,984.4264436839607,239.92768802446486
21,1533.0321213631464,237.82026527817592
22,1024.473839867188,233.7144562185562
23,781.7798359323265,236.9490016615001
24,177.21582356175944,236.22015744183975
25,1635.3548698021132,244.2369621769091
26,1899.6190112912452,244.11440448303318
27,1586.0036566384167,245.22541284029708
28,1260.1971383623913,236.9216183719702
29,1532.2842518670343,240.40946022929737
30,1720.4731570106928,238.35091987492723
31,2016.7082215196792,242.7251567318361
32,1844.7599089380963,243.14691819107145
33,2064.412662219414,247.85875225299336
34,2067.4398872736106,244.87696134741816
35,2169.121013522619,244.86876027447727
36,1799.0192483567698,241.8072393160124
37,1931.2582374479325,243.62089050517204
38,1802.1174345210356,244.94496419481956
39,2733.918758728303,256.2061938014733
40,1518.3247344224628,246.9564541412118
41,2502.4613228261424,253.21363791683376
42,1778.558677732515,252.25007905832607
43,2203.5996864357967,252.50218832300862
44,3045.0169907891586,252.34161396165555
45,2760.3928262127974,255.95580973406402
46,3552.4375990066605,260.500690381369
47,3136.484038793749,255.69546165111873
48,2085.4033728136055,250.64169196728432
49,2376.629559439983,252.53274273024994
50,2627.7896422865037,260.43640464215355
51,3096.6449700085495,266.47450667383026
52,3830.0290880943867,271.54214997367023
53,3325.3890322308043,266.92000816210043
54,4504.8688777355965,275.83476834756556
55,5017.674387873673,280.8971406531185
56,4555.336525333018,281.52756013243976
57,5575.683877021111,282.1947044047233
58,5306.1665359266635,278.0158725688333
59,5058.996603929363,284.36350633131883
60,6384.1387055168625,287.85405868411755
61,6465.794854408957,290.7625855506298
62,6799.883373280548,293.73247102905844
63,6940.71655680312,298.80812856396915
64,6885.2160877086335,296.438585343814
65,8420.802793112649,306.02054780516244
66,8870.36950696354,316.09084336191745
67,8207.166000769694,314.2827783705068
68,9920.807852742919,323.21490034755726
69,8990.263565151132,317.62039792965385
70,9871.419075785609,327.2950232915649
71,9192.02964784634,324.16535301281397
72,11247.038859764456,334.48996973267646
73,9369.402380982425,330.089238562789
74,12446.02381519434,340.16490565998765
75,12662.514508517272,341.79024735384843
76,12586.271319320553,343.5093096196195
77,12858.659497791454,352.83877312368315
78,14348.794344706363,356.95558232157765
79,15529.555014992267,368.65788554103875
80,16632.08525500652,372.4887959034395
81,18048.321676553907,379.17722325220217
82,20750.74202747343,395.6101178045881
83,21461.960084988314,403.93817718852216
84,21160.52561395457,405.44371714762167
85,23420.82057318399,416.6770497521843
86,26161.189774760023,428.93789141493363
87,27047.61234697401,441.56464169511696
88,28305.55046754711,448.46268149403056
89,29170.967282144386,453.94280966910725
90,30235.715161916352,454.737446646181
91,29175.13907120218,450.0447649081446
92,29709.414273526352,455.29404202834473
93,30923.317660935503,461.34197625135783
94,31126.764767095094,459.60736150879427
95,31436.838149220213,464.5242239440509
96,32251.84487244961,464.9710355125268
97,32307.91353329217,465.57766086348806
98,34522.79791308979,477.4346620840175
99,35946.99879809712,483.09420626694333
100,36253.72548988279,490.47123318630923
101,39271.96343878295,502.2620045399459
102,43257.23779098688,520.7665410257579
103,46479.45821676379,535.5735181634825
104,50168.69875670627,554.4783717879086
105,53677.10528156447,572.3480516953845
106,56854.4568444295,586.569646390937
107,58842.29422475226,596.7723692027625
108,62319.21041603508,609.640707450061
109,64869.484377243585,621.9256059363697
110,70569.77973210312,640.1114159076102
111,75227.80655248645,660.8286324500167
112,80113.15244242559,679.266349762985
113,83536.30095322264,695.7123346043215
114,86860.59079045478,704.598904783339
115,89486.95811110405,709.9283921936684
116,88230.91630767625,704.075666559395
117,85337.55991502364,696.2323351972273
118,84572.19647938323,694.019451244989
119,85467.29906911985,698.0996953302349
120,85107.16755810351,695.3454194824985
121,83989.87616363328,692.1582047313873
122,90095.26834992747,718.3159016090566
123,95295.09922257603,733.838463252697
124,103948.09300260083,761.1385145046837
125,114917.82691320773,796.6264940275643
126,119033.77114419913,813.0421299080328
127,123596.38917694752,825.2920512007086
128,126766.47426323395,837.1851353641504
129,132880.04884771263,852.9439419397171
130,133211.00337353078,853.2080037362858
131,146810.27580242956,891.0706886160497
132,170112.81930224193,955.3342228127821
133,193152.04338626427,1016.7046759783236
134,216125.64352476376,1069.841420796241
135,231023.76462638917,1102.889408844099
136,240876.83673768092,1126.4739841616818
137,252252.31413242684,1150.9682412557534
138,267818.3999856431,1184.9957469295011
139,281718.93512196344,1215.9999081736214
140,287452.1066322356,1226.8335359079192
141,296425.57485326176,1245.024553122923
142,304072.91954769375,1260.0601379779698
143,312808.5719835852,1278.1639544158927
