wave,flux,error
3420.660,8.038e-12,nan
3424.909,-4.203e-12,nan
3429.159,4.284e-12,nan
3433.409,-7.005e-12,nan
3437.659,-3.187e-12,nan
3441.909,7.412e-13,nan
3446.160,4.697e-11,nan
3450.411,-1.540e-11,nan
3454.663,3.983e-11,nan
3458.915,1.215e-11,nan
3463.167,1.421e-11,nan
3467.420,-1.086e-12,nan
3471.673,4.872e-12,nan
3475.926,2.843e-12,nan
3480.180,8.443e-12,nan
3484.434,-4.287e-12,nan
3488.688,3.748e-12,nan
3492.943,1.286e-12,nan
3497.198,7.208e-12,nan
3501.454,3.715e-12,nan
3505.709,2.785e-12,nan
3509.965,1.760e-11,nan
3514.222,3.328e-11,nan
3518.479,-2.609e-12,nan
3522.736,-7.038e-13,nan
3526.993,1.876e-12,nan
3531.251,3.294e-12,nan
3535.509,6.877e-12,nan
3539.768,1.218e-11,nan
3544.027,-1.764e-14,nan
3548.286,-5.129e-12,nan
3552.546,-4.822e-12,nan
3556.806,5.602e-12,nan
3561.066,1.500e-13,nan
3565.326,3.211e-12,nan
3569.587,3.870e-12,nan
3573.849,1.255e-11,nan
3578.110,-6.172e-12,nan
3582.372,2.099e-11,nan
3586.635,2.073e-11,9.184e-13
3590.897,5.059e-12,nan
3595.160,4.614e-12,nan
3599.423,4.239e-12,nan
3603.687,-2.726e-13,nan
3607.951,9.541e-12,nan
3612.215,7.659e-12,nan
3616.480,7.277e-12,nan
3620.745,1.559e-11,4.226e-13
3625.010,8.432e-12,3.463e-13
3629.276,4.845e-12,3.209e-13
3633.542,1.926e-11,6.351e-13
3637.809,2.294e-11,3.781e-13
3642.075,1.930e-11,8.316e-13
3646.342,1.453e-11,nan
3650.610,1.892e-11,5.076e-13
3654.877,8.339e-12,2.581e-13
3659.145,8.173e-12,4.594e-13
3663.414,5.851e-12,nan
3667.682,1.346e-11,4.600e-13
3671.951,2.361e-11,1.064e-12
3676.221,2.182e-11,1.028e-12
3680.490,3.408e-11,1.197e-12
3684.760,3.010e-11,1.314e-12
3689.031,2.158e-11,8.384e-13
3693.301,2.047e-11,9.587e-13
3697.572,2.290e-11,7.678e-13
3701.844,1.625e-11,8.447e-13
3706.115,1.868e-11,7.779e-13
3710.387,2.559e-11,9.011e-13
3714.660,1.864e-11,7.374e-13
3718.932,1.273e-11,6.053e-13
3723.205,1.309e-11,4.873e-13
3727.479,1.588e-11,5.342e-13
3731.752,1.380e-11,6.312e-13
3736.026,1.485e-11,6.773e-13
3740.301,1.959e-11,6.947e-13
3744.575,1.864e-11,6.762e-13
3748.850,1.657e-11,5.652e-13
3753.125,1.312e-11,4.985e-13
3757.401,1.655e-11,5.212e-13
3761.677,1.929e-11,5.600e-13
3765.953,2.164e-11,6.722e-13
3770.230,2.467e-11,7.609e-13
3774.507,2.369e-11,7.119e-13
3778.784,2.079e-11,6.003e-13
3783.061,1.591e-11,4.730e-13
3787.339,1.568e-11,4.217e-13
3791.617,1.580e-11,4.284e-13
3795.896,1.804e-11,4.653e-13
3800.175,1.944e-11,5.200e-13
3804.454,2.114e-11,5.489e-13
3808.733,1.986e-11,4.962e-13
3813.013,1.719e-11,4.248e-13
3817.293,1.349e-11,3.465e-13
3821.574,1.418e-11,3.339e-13
3825.854,1.345e-11,3.086e-13
3830.135,1.416e-11,3.151e-13
3834.417,1.345e-11,3.135e-13
3838.698,1.434e-11,3.217e-13
3842.980,1.499e-11,3.416e-13
3847.263,1.689e-11,3.544e-13
3851.545,1.573e-11,3.489e-13
3855.828,1.840e-11,3.660e-13
3860.112,1.828e-11,3.439e-13
3864.395,1.786e-11,3.275e-13
3868.679,1.535e-11,2.871e-13
3872.963,1.369e-11,2.529e-13
3877.248,1.165e-11,2.107e-13
3881.533,1.039e-11,1.904e-13
3885.818,1.175e-11,2.029e-13
3890.103,1.459e-11,2.361e-13
3894.389,1.758e-11,2.830e-13
3898.675,2.031e-11,3.176e-13
3902.962,2.085e-11,3.239e-13
3907.249,1.960e-11,2.995e-13
3911.536,1.781e-11,2.626e-13
3915.823,1.542e-11,2.311e-13
3920.111,1.314e-11,2.097e-13
3924.399,1.405e-11,2.145e-13
3928.687,1.380e-11,2.121e-13
3932.975,1.307e-11,2.015e-13
3937.264,1.234e-11,1.878e-13
3941.554,1.181e-11,1.719e-13
3945.843,1.063e-11,1.544e-13
3950.133,1.132e-11,1.538e-13
3954.423,1.140e-11,1.538e-13
3958.713,1.123e-11,1.560e-13
3963.004,1.208e-11,1.586e-13
3967.295,1.217e-11,1.596e-13
3971.587,1.312e-11,1.633e-13
3975.878,1.326e-11,1.619e-13
3980.170,1.398e-11,1.656e-13
3984.463,1.613e-11,1.745e-13
3988.755,1.702e-11,1.785e-13
3993.048,1.871e-11,1.851e-13
3997.341,1.925e-11,1.853e-13
4001.635,1.920e-11,1.832e-13
4005.929,1.996e-11,1.844e-13
4010.223,2.022e-11,1.835e-13
4014.517,2.048e-11,1.827e-13
4018.812,1.998e-11,1.788e-13
4023.107,2.008e-11,1.771e-13
4027.402,2.026e-11,1.758e-13
4031.698,2.003e-11,1.736e-13
4035.994,2.048e-11,1.724e-13
4040.290,1.959e-11,1.675e-13
4044.586,2.047e-11,1.689e-13
4048.883,1.995e-11,1.650e-13
4053.180,1.932e-11,1.613e-13
4057.478,1.883e-11,1.575e-13
4061.775,1.954e-11,1.580e-13
4066.073,1.929e-11,1.554e-13
4070.372,1.957e-11,1.550e-13
4074.670,1.988e-11,1.541e-13
4078.969,2.048e-11,1.546e-13
4083.268,2.008e-11,1.522e-13
4087.568,2.104e-11,1.534e-13
4091.868,2.033e-11,1.501e-13
4096.168,2.037e-11,1.484e-13
4100.468,2.004e-11,1.459e-13
4104.769,2.004e-11,1.438e-13
4109.070,1.999e-11,1.426e-13
4113.371,2.063e-11,1.430e-13
4117.673,2.082e-11,1.421e-13
4121.975,2.120e-11,1.422e-13
4126.277,2.084e-11,1.396e-13
4130.579,2.074e-11,1.380e-13
4134.882,2.039e-11,1.349e-13
4139.185,1.967e-11,1.317e-13
4143.488,1.986e-11,1.310e-13
4147.792,2.016e-11,1.305e-13
4152.096,1.987e-11,1.285e-13
4156.400,2.007e-11,1.277e-13
4160.704,2.003e-11,1.264e-13
4165.009,1.951e-11,1.234e-13
4169.314,1.913e-11,1.215e-13
4173.620,1.957e-11,1.214e-13
4177.925,1.867e-11,1.176e-13
4182.231,1.884e-11,1.168e-13
4186.537,1.834e-11,1.141e-13
4190.844,1.803e-11,1.119e-13
4195.151,1.763e-11,1.103e-13
4199.458,1.787e-11,1.096e-13
4203.765,1.758e-11,1.077e-13
4208.073,1.797e-11,1.080e-13
4212.381,1.799e-11,1.072e-13
4216.689,1.787e-11,1.058e-13
4220.997,1.768e-11,1.045e-13
4225.306,1.758e-11,1.029e-13
4229.615,1.702e-11,1.005e-13
4233.925,1.707e-11,9.984e-14
4238.234,1.700e-11,9.881e-14
4242.544,1.713e-11,9.822e-14
4246.854,1.710e-11,9.722e-14
4251.165,1.701e-11,9.615e-14
4255.476,1.658e-11,9.419e-14
4259.787,1.635e-11,9.262e-14
4264.098,1.647e-11,9.221e-14
4268.409,1.609e-11,9.038e-14
4272.721,1.553e-11,8.821e-14
4277.034,1.567e-11,8.771e-14
4281.346,1.529e-11,8.608e-14
4285.659,1.516e-11,8.507e-14
4289.972,1.452e-11,8.252e-14
4294.285,1.392e-11,8.013e-14
4298.599,1.285e-11,7.664e-14
4302.912,1.262e-11,7.506e-14
4307.227,1.233e-11,7.393e-14
4311.541,1.326e-11,7.586e-14
4315.856,1.406e-11,7.761e-14
4320.171,1.513e-11,7.963e-14
4324.486,1.568e-11,8.025e-14
4328.801,1.496e-11,7.810e-14
4333.117,1.473e-11,7.679e-14
4337.433,1.470e-11,7.613e-14
4341.749,1.427e-11,7.466e-14
4346.066,1.408e-11,7.370e-14
4350.383,1.458e-11,7.484e-14
4354.700,1.529e-11,7.576e-14
4359.017,1.508e-11,7.513e-14
4363.335,1.541e-11,7.506e-14
4367.653,1.615e-11,7.609e-14
4371.971,1.502e-11,7.280e-14
4376.290,1.390e-11,6.968e-14
4380.609,1.339e-11,6.777e-14
4384.928,1.319e-11,6.702e-14
4389.247,1.324e-11,6.652e-14
4393.566,1.393e-11,6.764e-14
4397.886,1.395e-11,6.737e-14
4402.206,1.269e-11,6.410e-14
4406.527,1.241e-11,6.299e-14
4410.847,1.231e-11,6.253e-14
4415.168,1.413e-11,6.593e-14
4419.490,1.451e-11,6.643e-14
4423.811,1.511e-11,6.718e-14
4428.133,1.573e-11,6.797e-14
4432.455,1.599e-11,6.812e-14
4436.777,1.578e-11,6.724e-14
4441.100,1.610e-11,6.728e-14
4445.422,1.613e-11,6.700e-14
4449.745,1.606e-11,6.638e-14
4454.069,1.550e-11,6.498e-14
4458.392,1.545e-11,6.433e-14
4462.716,1.526e-11,6.360e-14
4467.040,1.557e-11,6.378e-14
4471.365,1.580e-11,6.380e-14
4475.689,1.577e-11,6.333e-14
4480.014,1.549e-11,6.242e-14
4484.339,1.562e-11,6.230e-14
4488.665,1.594e-11,6.250e-14
4492.990,1.552e-11,6.133e-14
4497.316,1.561e-11,6.107e-14
4501.643,1.638e-11,6.211e-14
4505.969,1.584e-11,6.078e-14
4510.296,1.557e-11,5.989e-14
4514.623,1.531e-11,5.897e-14
4518.950,1.497e-11,5.798e-14
4523.278,1.439e-11,5.642e-14
4527.605,1.417e-11,5.570e-14
4531.933,1.382e-11,5.470e-14
4536.262,1.428e-11,5.521e-14
4540.590,1.397e-11,5.439e-14
4544.919,1.399e-11,5.403e-14
4549.248,1.419e-11,5.400e-14
4553.577,1.403e-11,5.337e-14
4557.907,1.398e-11,5.296e-14
4562.237,1.408e-11,5.279e-14
4566.567,1.389e-11,5.205e-14
4570.897,1.400e-11,5.191e-14
4575.228,1.375e-11,5.118e-14
4579.558,1.303e-11,4.957e-14
4583.890,1.274e-11,4.863e-14
4588.221,1.253e-11,4.789e-14
4592.553,1.208e-11,4.680e-14
4596.884,1.232e-11,4.689e-14
4601.216,1.239e-11,4.669e-14
4605.549,1.288e-11,4.715e-14
4609.881,1.324e-11,4.743e-14
4614.214,1.368e-11,4.786e-14
4618.547,1.343e-11,4.710e-14
4622.881,1.369e-11,4.716e-14
4627.214,1.337e-11,4.637e-14
4631.548,1.333e-11,4.598e-14
4635.882,1.305e-11,4.517e-14
4640.217,1.294e-11,4.472e-14
4644.551,1.287e-11,4.429e-14
4648.886,1.273e-11,4.382e-14
4653.221,1.228e-11,4.283e-14
4657.556,1.236e-11,4.271e-14
4661.892,1.227e-11,4.230e-14
4666.228,1.219e-11,4.191e-14
4670.564,1.210e-11,4.155e-14
4674.900,1.242e-11,4.186e-14
4679.237,1.211e-11,4.111e-14
4683.574,1.213e-11,4.091e-14
4687.911,1.221e-11,4.078e-14
4692.248,1.184e-11,3.999e-14
4696.586,1.173e-11,3.961e-14
4700.923,1.167e-11,3.927e-14
4705.261,1.143e-11,3.867e-14
4709.600,1.169e-11,3.888e-14
4713.938,1.182e-11,3.890e-14
4718.277,1.187e-11,3.879e-14
4722.616,1.189e-11,3.861e-14
4726.955,1.179e-11,3.829e-14
4731.295,1.158e-11,3.776e-14
4735.634,1.138e-11,3.727e-14
4739.974,1.151e-11,3.729e-14
4744.315,1.135e-11,3.684e-14
4748.655,1.125e-11,3.652e-14
4752.996,1.104e-11,3.596e-14
4757.337,1.077e-11,3.536e-14
4761.678,1.084e-11,3.528e-14
4766.019,1.071e-11,3.499e-14
4770.361,1.073e-11,3.482e-14
4774.703,1.080e-11,3.481e-14
4779.045,1.037e-11,3.400e-14
4783.387,1.028e-11,3.366e-14
4787.730,1.024e-11,3.344e-14
4792.073,9.961e-12,3.289e-14
4796.416,9.882e-12,3.262e-14
4800.759,9.738e-12,3.224e-14
4805.102,9.419e-12,3.158e-14
4809.446,9.363e-12,3.136e-14
4813.790,9.210e-12,3.098e-14
4818.134,9.021e-12,3.057e-14
4822.479,8.785e-12,3.005e-14
4826.823,8.675e-12,2.976e-14
4831.168,8.333e-12,2.906e-14
4835.514,7.986e-12,2.835e-14
4839.859,7.500e-12,2.738e-14
4844.205,6.811e-12,2.607e-14
4848.550,6.300e-12,2.505e-14
4852.896,5.879e-12,2.407e-14
4857.243,5.765e-12,2.376e-14
4861.589,6.054e-12,2.418e-14
4865.936,6.584e-12,2.509e-14
4870.283,7.240e-12,2.622e-14
4874.630,7.873e-12,2.720e-14
4878.978,8.484e-12,2.805e-14
4883.325,8.737e-12,2.835e-14
4887.673,8.933e-12,2.856e-14
4892.021,9.124e-12,2.874e-14
4896.370,9.329e-12,2.897e-14
4900.718,9.398e-12,2.897e-14
4905.067,9.309e-12,2.873e-14
4909.416,9.042e-12,2.823e-14
4913.765,8.961e-12,2.803e-14
4918.115,8.823e-12,2.773e-14
4922.465,8.817e-12,2.764e-14
4926.815,8.915e-12,2.770e-14
4931.165,8.917e-12,2.760e-14
4935.515,8.898e-12,2.747e-14
4939.866,8.924e-12,2.742e-14
4944.217,8.909e-12,2.732e-14
4948.568,9.062e-12,2.747e-14
4952.919,9.063e-12,2.737e-14
4957.270,8.822e-12,2.694e-14
4961.622,8.975e-12,2.709e-14
4965.974,8.974e-12,2.703e-14
4970.326,8.957e-12,2.693e-14
4974.678,8.814e-12,2.666e-14
4979.031,8.706e-12,2.640e-14
4983.384,8.573e-12,2.614e-14
4987.737,8.643e-12,2.618e-14
4992.090,8.591e-12,2.605e-14
4996.444,8.410e-12,2.569e-14
5000.797,8.215e-12,2.534e-14
5005.151,8.148e-12,2.516e-14
5009.505,8.045e-12,2.495e-14
5013.860,7.999e-12,2.482e-14
5018.214,7.902e-12,2.458e-14
5022.569,7.752e-12,2.431e-14
5026.924,7.964e-12,2.457e-14
5031.279,7.815e-12,2.427e-14
5035.635,7.613e-12,2.391e-14
5039.990,7.510e-12,2.369e-14
5044.346,7.484e-12,2.359e-14
5048.702,7.419e-12,2.343e-14
5053.058,7.477e-12,2.345e-14
5057.415,7.470e-12,2.338e-14
5061.772,7.258e-12,2.298e-14
5066.128,6.983e-12,2.253e-14
5070.486,6.759e-12,2.208e-14
5074.843,6.573e-12,2.175e-14
5079.200,6.406e-12,2.141e-14
5083.558,6.319e-12,2.123e-14
5087.916,6.276e-12,2.108e-14
5092.274,6.165e-12,2.084e-14
5096.633,5.978e-12,2.046e-14
5100.991,6.096e-12,2.058e-14
5105.350,6.194e-12,2.064e-14
5109.709,6.431e-12,2.097e-14
5114.068,6.698e-12,2.128e-14
