wave,flux,error
4134.882,1.737e-11,1.166e-13
4139.185,1.776e-11,1.169e-13
4143.488,1.753e-11,1.155e-13
4147.792,1.739e-11,1.140e-13
4152.096,1.740e-11,1.133e-13
4156.400,1.740e-11,1.124e-13
4160.704,1.717e-11,1.108e-13
4165.009,1.720e-11,1.101e-13
4169.314,1.713e-11,1.091e-13
4173.620,1.721e-11,1.085e-13
4177.925,1.647e-11,1.053e-13
4182.231,1.670e-11,1.053e-13
4186.537,1.662e-11,1.043e-13
4190.844,1.659e-11,1.035e-13
4195.151,1.653e-11,1.025e-13
4199.458,1.652e-11,1.019e-13
4203.765,1.644e-11,1.009e-13
4208.073,1.678e-11,1.012e-13
4212.381,1.659e-11,1.000e-13
4216.689,1.680e-11,9.987e-14
4220.997,1.629e-11,9.781e-14
4225.306,1.633e-11,9.716e-14
4229.615,1.615e-11,9.605e-14
4233.925,1.611e-11,9.535e-14
4238.234,1.640e-11,9.553e-14
4242.544,1.614e-11,9.410e-14
4246.854,1.600e-11,9.326e-14
4251.165,1.619e-11,9.316e-14
4255.476,1.632e-11,9.301e-14
4259.787,1.618e-11,9.202e-14
4264.098,1.602e-11,9.104e-14
4268.409,1.553e-11,8.912e-14
4272.721,1.563e-11,8.893e-14
4277.034,1.562e-11,8.825e-14
4281.346,1.524e-11,8.675e-14
4285.659,1.512e-11,8.590e-14
4289.972,1.425e-11,8.308e-14
4294.285,1.366e-11,8.096e-14
4298.599,1.306e-11,7.886e-14
4302.912,1.261e-11,7.705e-14
4307.227,1.297e-11,7.776e-14
4311.541,1.426e-11,8.099e-14
4315.856,1.533e-11,8.340e-14
4320.171,1.632e-11,8.549e-14
4324.486,1.666e-11,8.595e-14
4328.801,1.583e-11,8.347e-14
4333.117,1.621e-11,8.403e-14
4337.433,1.575e-11,8.239e-14
4341.749,1.576e-11,8.206e-14
4346.066,1.650e-11,8.359e-14
4350.383,1.696e-11,8.436e-14
4354.700,1.774e-11,8.581e-14
4359.017,1.821e-11,8.659e-14
4363.335,1.846e-11,8.672e-14
4367.653,1.814e-11,8.561e-14
4371.971,1.750e-11,8.363e-14
4376.290,1.718e-11,8.260e-14
4380.609,1.686e-11,8.147e-14
4384.928,1.680e-11,8.102e-14
4389.247,1.685e-11,8.070e-14
4393.566,1.741e-11,8.179e-14
4397.886,1.698e-11,8.051e-14
4402.206,1.649e-11,7.906e-14
4406.527,1.688e-11,7.966e-14
4410.847,1.731e-11,8.039e-14
4415.168,1.786e-11,8.128e-14
4419.490,1.864e-11,8.267e-14
4423.811,1.948e-11,8.419e-14
4428.133,1.946e-11,8.392e-14
4432.455,1.944e-11,8.362e-14
4436.777,1.970e-11,8.380e-14
4441.100,1.973e-11,8.369e-14
4445.422,1.985e-11,8.355e-14
4449.745,1.973e-11,8.311e-14
4454.069,1.900e-11,8.134e-14
4458.392,1.911e-11,8.131e-14
4462.716,1.964e-11,8.214e-14
4467.040,2.076e-11,8.412e-14
4471.365,2.050e-11,8.348e-14
4475.689,2.128e-11,8.471e-14
4480.014,2.091e-11,8.372e-14
4484.339,2.094e-11,8.363e-14
4488.665,2.145e-11,8.434e-14
4492.990,2.189e-11,8.497e-14
4497.316,2.185e-11,8.469e-14
4501.643,2.198e-11,8.474e-14
4505.969,2.211e-11,8.480e-14
4510.296,2.178e-11,8.393e-14
4514.623,2.167e-11,8.356e-14
4518.950,2.138e-11,8.280e-14
4523.278,2.086e-11,8.166e-14
4527.605,2.011e-11,8.002e-14
4531.933,2.066e-11,8.081e-14
4536.262,2.113e-11,8.162e-14
4540.590,2.097e-11,8.112e-14
4544.919,2.128e-11,8.151e-14
4549.248,2.141e-11,8.166e-14
4553.577,2.121e-11,8.111e-14
4557.907,2.157e-11,8.157e-14
4562.237,2.173e-11,8.161e-14
4566.567,2.202e-11,8.191e-14
4570.897,2.025e-11,7.812e-14
4575.228,2.202e-11,8.068e-14
4579.558,2.226e-11,8.028e-14
4583.890,2.009e-11,7.562e-14
4588.221,1.959e-11,7.427e-14
4592.553,2.060e-11,7.611e-14
4596.884,2.069e-11,7.670e-14
4601.216,2.119e-11,7.802e-14
4605.549,2.245e-11,8.035e-14
4609.881,2.236e-11,8.006e-14
4614.214,2.280e-11,8.043e-14
4618.547,2.322e-11,8.085e-14
4622.881,2.299e-11,8.009e-14
4627.214,2.279e-11,7.944e-14
4631.548,2.247e-11,7.860e-14
4635.882,2.228e-11,7.798e-14
4640.217,2.246e-11,7.803e-14
4644.551,2.200e-11,7.705e-14
4648.886,2.211e-11,7.699e-14
4653.221,2.220e-11,7.697e-14
4657.556,2.184e-11,7.615e-14
4661.892,2.195e-11,7.621e-14
4666.228,2.168e-11,7.559e-14
4670.564,2.198e-11,7.598e-14
