x_pix,ap_summed,ap_std
0,2685.6914059925416,309.9846622977363
1,1183.8735523648315,302.90339586867566
2,1001.7672879071347,300.2989509360829
3,755.2394770363424,298.69380128405624
4,1245.184102701947,300.53647626089884
5,1832.2372700471433,305.89079951233686
6,1048.40742201289,296.75927945768024
7,1134.9339374553194,308.2886658068538
8,1045.227633906959,302.78799276804176
9,1292.8949375886964,299.500075386131
10,645.9064844453537,298.29998747413185
11,1940.9457991897584,297.7932153108404
12,3080.343515662715,303.5307330121526
13,1468.6746916714396,303.8850998881534
14,-184.5562085400026,302.622127919736
15,-585.8388104095121,303.0670075596488
16,2587.28173029819,301.15887589930594
17,2386.321610438663,305.138931399255
18,3990.943247108146,305.53953905773864
19,2448.133854197319,300.2724138463448
20,1371.1985488367834,299.6895521805184
21,1248.7875887021257,306.2707562599657
22,2572.7578138992008,310.3487062019587
23,2371.7857630618387,311.9095060502132
24,1736.0142219739823,307.29217828488584
25,1538.5252799848154,306.59442048182467
26,3681.6122864359,311.1434912373998
27,1418.82015804836,309.6360850262881
28,3083.052916316964,312.155332575272
29,1650.7959469737848,316.8687819290168
30,654.5605842064523,311.7513390504147
31,3398.6457405526835,313.59775681909787
32,4348.238241316993,311.705149196886
33,3798.117724269503,317.9008176337433
34,4029.0338238108307,314.99184650191523
35,3049.2489264126316,315.9347736912895
36,2896.666230705156,315.29983103925883
37,4051.704671320545,326.34590689211797
38,5807.627534540082,323.52787845567565
39,2341.888988797525,316.5527720309143
40,4258.882420801384,320.46752127041617
41,5156.296751842002,319.9074999059976
42,5044.464695680315,317.48829773963024
43,4598.124388875975,322.73530040845384
44,5313.1191152509955,323.81260970992895
45,3966.1561162972844,330.5125237115454
46,6552.209431373753,324.75255004166377
47,1854.3699944522286,327.5901392476348
48,4318.604509337796,332.33659273121845
49,4948.158215071337,332.98816615480774
50,4031.834843825127,337.720743420316
51,4336.462358667839,337.873214963644
52,7043.5759482723615,342.1851555015296
53,3894.6857844483598,341.15499387599596
54,7648.461041423684,344.9588426530446
55,6520.278006494273,346.9396938333499
56,7942.231715646405,352.2134387463499
57,9781.409038413185,354.20436924589825
58,9991.489607903417,361.25913785034766
59,10400.984425681409,363.1245138706544
60,10216.111252231836,369.9482564472987
61,9965.424801214745,370.3463066207002
62,10833.673668230991,374.84944802072107
63,12216.394482105206,380.94488338564366
64,14187.47533463989,382.8005460092815
65,11970.402419528036,388.4013235790304
66,14948.263597641882,398.2153858696673
67,14023.968891338642,408.0516118123345
68,14400.046976487149,398.9177833032878
69,15879.335017638345,406.81779928725047
70,19266.022594214057,415.9657307825778
71,16260.720834643791,418.35670659642534
72,18166.715073672684,422.42423119498994
73,17009.138647399694,424.9036815223884
74,21387.83768330412,433.7675748369773
75,20851.885192219695,439.4847383973988
76,21599.763643695464,442.870376318684
77,23079.034298282575,454.7581955679647
78,26336.011765658313,458.69650301512695
79,28413.114679681756,475.95673142574077
80,27494.43503461277,481.0237810400678
81,32776.65861713529,494.28904020244244
82,35207.334406776245,505.01164713150274
83,35033.978256850474,504.54764416969886
84,37249.004704590756,517.6609987916171
85,40027.63329386778,536.486992571905
86,41396.75468624973,544.0230306931469
87,43093.03026328967,554.5279289826613
88,44757.29165066292,559.7977001387763
89,46818.77640502565,567.9919435784234
90,46009.64497798116,561.6333448499995
91,46647.51726355372,567.1979365531408
92,47046.694852765555,568.9277677806168
93,47547.9314047586,573.9663329524052
94,48951.181023684425,582.6698243730485
95,49691.71382786226,580.6927564230308
96,51448.111367467696,587.2032193819289
97,52866.52984096209,597.4857490688674
98,53826.84495218892,601.4024612271461
99,54185.16883689665,609.4026659955133
100,59678.465104433286,621.5107517872667
101,63003.89013963275,635.594577272974
102,70601.11764161554,662.1794733372639
103,74906.5091859419,682.8625145519729
104,77380.39083609244,696.5368645042747
105,82937.13806295952,716.8636678342896
106,86408.42494138851,724.5557343196505
107,92725.56219436548,742.0443583633033
108,100197.62237088873,769.6729309558453
109,102014.44759612542,780.3175392330581
110,112429.57591641789,805.4024333859994
111,116536.0723147054,828.7210709455934
112,125057.16777633007,852.3941459922215
113,132935.7687146866,877.4877815193693
114,141586.05782012115,900.2232520613006
115,145526.8391511815,906.7251797136345
116,141032.95493930994,896.2961324789406
117,140246.7831618439,890.9944760935233
118,137465.2206994682,889.3141699761863
119,135374.37325492039,883.8629693190896
120,137720.7702497357,885.1997948719692
121,136886.91544029067,883.6774829000412
