file,DATE-OBS,IMAGETYP,OBJECT
C:\SNU\2022_2\AO2\data\calibration-0001dk180.fit,2022-11-04T19:05:04,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0001dk3.fit,2022-11-04T18:45:29,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0001dk30.fit,2022-11-04T18:49:54,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0001dk300.fit,2022-11-04T19:35:58,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0001dk4.fit,2022-11-04T18:46:45,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0001dk6.fit,2022-11-04T18:48:11,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0001dk60.fit,2022-11-04T18:55:14,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0001dk600.fit,2022-11-04T20:21:48,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0001dk900.fit,2022-11-04T21:52:38,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0002bias.fit,2022-11-04T18:42:55,Bias Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0002dk02.fit,2022-11-04T18:43:44,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0002dk1.fit,2022-11-04T18:44:37,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0002dk15.fit,2022-11-04T19:33:14,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0002dk180.fit,2022-11-04T19:08:09,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0002dk3.fit,2022-11-04T18:45:37,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0002dk30.fit,2022-11-04T18:50:30,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0002dk300.fit,2022-11-04T19:41:03,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0002dk4.fit,2022-11-04T18:46:55,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0002dk6.fit,2022-11-04T18:48:22,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0002dk60.fit,2022-11-04T18:56:19,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0002dk600.fit,2022-11-04T20:31:54,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0002dk900.fit,2022-11-04T22:07:44,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0003bias.fit,2022-11-04T18:43:00,Bias Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0003dk02.fit,2022-11-04T18:43:50,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0003dk1.fit,2022-11-04T18:44:43,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0003dk15.fit,2022-11-04T19:33:34,Dark Frame,calibration
