x_pix,ap_summed,ap_std
0,165.44262947707549,32.101776298274714
1,52.548510951333526,31.41461970901072
2,150.22681910347765,31.898385814777875
3,34.07775886484813,31.936614264643776
4,163.00894773914845,32.42473134103706
5,70.22596655829847,32.80508064287175
6,142.14102819866463,32.430367673578615
7,99.6724115590499,32.40784844276832
8,80.86873511709388,32.3110396464113
9,52.816150421798746,31.999700161476387
10,124.61055693833931,32.87728208365589
11,38.43638076916474,30.997968504639527
12,89.91748211985505,32.114692574804536
13,85.35194465815101,32.63958062709676
14,85.15434714194484,32.05128224916586
15,36.28311840366229,32.317401795211325
16,89.94772823122784,31.770437759537852
17,45.923967750889254,31.23632528995348
18,151.92341868799633,33.37466288130422
19,-24.18754738600932,31.125403397282245
20,108.09959946580534,32.75361482761155
21,91.43317228736129,32.7053437750526
22,108.01244420172273,32.71827694461448
23,7.8175309372770485,32.58524174152963
24,64.4419510525126,32.741308277877664
25,39.72769786328499,32.12877700243909
26,13.741359219248105,31.266235215818263
27,93.05980611237553,33.171222844737855
28,164.67189592282236,32.949186446041146
29,128.1160155703269,32.5223515493024
30,11.542448607983124,31.776645714383584
31,96.00610007246901,32.36569038445669
32,49.7370432866764,32.62625187918539
33,-36.05904061497742,31.96553988404694
34,91.74421593966308,32.85691714026994
35,74.28289934380777,32.103650789377056
36,31.559083265525416,32.23130913973403
37,95.15017253476812,31.70439728576638
38,189.51613241640905,33.7579160382415
39,133.92765786264474,32.41683848830427
40,61.10874960246202,32.1003412079669
41,149.6210682097909,33.858955744695876
42,87.84312059306706,32.99449013920341
43,86.56176478041465,32.57508002713056
44,120.80395454986686,33.37883000870212
45,183.38767921778248,33.7105823895583
46,217.09102136508284,33.98817954188638
47,86.20028882289498,33.50961156557671
48,8.508675083921148,33.46315285624893
49,144.6221983504288,33.890669060445184
50,58.50364981704578,33.13554692007306
51,140.7657058435435,33.496037083102
52,147.1394877959781,34.62237654213828
53,117.4297183247791,32.652319853356815
54,307.7779126029442,35.37471874687583
55,227.72669827091835,34.160665670186404
56,189.04631473733448,33.825419726151154
57,235.10374242350213,34.28075073191083
58,263.10591310153086,35.45647874500169
59,204.96320129403364,34.96563093556281
60,345.7473056182244,35.60297619344675
61,305.59321004501396,35.14337829874039
62,430.72229268633913,36.38312566359907
63,221.5135976339123,35.018890582860124
64,342.3467007685008,35.82655677298342
65,300.2909421458869,36.90412911130691
66,455.3913521605649,36.00377498711221
67,287.8946445386476,36.05447531925346
68,475.66823707235767,37.02785449889336
69,337.66081713041115,37.14156040691992
70,420.8707058178944,37.13441774219535
71,301.0670924309267,36.298291637565995
72,463.48829545698567,38.198191248417295
73,365.1003328565499,37.46517006611518
74,575.9883219373014,39.14396402769687
75,416.63359339837416,37.605617922758704
76,584.3805483142448,38.66740600389528
77,648.6345184289822,39.98065399493834
78,629.0209790075226,40.268358623592
79,627.2539756486555,39.94613930704622
80,758.2900191111753,41.029420869628126
81,831.0201071124272,41.92619163299392
82,775.3439960802165,42.21324102959413
83,811.1863375768291,43.357138058182485
84,984.372097668993,44.71132648916716
85,1017.2670374353676,45.394951765158396
86,977.2874322334328,44.78660064519403
87,1087.2431951625329,45.53572914355906
88,1185.7760787872003,45.95395211142363
89,1125.766379809117,46.49847862123102
90,1025.694032584879,45.17527439702811
91,1263.84999561597,47.381607314916046
92,1024.8477796328807,45.68971525602712
93,1073.7300031848567,45.764450693757325
94,1387.3862761889986,48.24500464930586
95,1201.8083062807477,47.177962010223375
96,1264.0424507449836,47.31973379738107
97,1284.683562875365,47.91897028387436
98,1323.513212325227,48.450972114629
99,1376.730980497061,48.944000901367936
100,1541.7655262930496,50.718277195216224
101,1704.9094662241223,51.5443909434286
102,1685.264459103308,52.65119921558786
103,2111.4821498017163,55.556197523899975
104,1921.5323119328214,55.08745647515117
105,2003.3442692571293,55.336191703071336
106,2121.2386658730084,56.620300789089065
107,2145.5214058148135,57.80655377210945
108,2487.9899955062056,59.2799990819895
109,2590.6244648541497,60.4502025678856
110,2938.6989518419455,63.430538765307894
111,2872.223508929247,63.02169216215176
112,3057.6405658841386,64.36827913595162
113,3287.8192012911204,66.15212327094605
114,3566.765463831708,67.92147590963927
115,3642.5909041439,68.97323383944922
116,3555.4367333514183,68.62595940046278
117,3703.570719419179,68.3318584160307
118,3535.828260498729,67.55914637001906
119,3521.541315032315,67.78575842252953
120,3401.4832920376525,66.2813460454232
121,3502.977732947981,67.80066269813487
122,3743.586568553513,68.87763727584206
123,3863.1094810803397,70.19309455614129
124,4252.525073332929,72.62937586463006
125,4531.102280571037,74.87290276184143
126,4639.806984505443,75.34716721545517
127,5046.63078579293,78.40531412672044
128,5141.898572958194,78.35200802455614
129,5399.431557559479,80.66497467158874
130,5438.729948933491,81.09518302407427
131,5969.781013300908,84.18517960505774
132,6997.6157147755985,90.37882705391624
133,8611.240594229246,98.2912405028534
134,9320.238388979424,101.88115552204378
135,9879.511631524208,105.11763311228172
136,10033.536088014702,105.37158915348357
137,10485.143467913525,107.90652502239224
138,11104.002854264188,110.6153248615201
139,11401.495334444247,112.1471790786262
140,11806.27495321066,113.54973118327511
141,12344.707218738895,116.1201684174337
142,12824.98234122082,117.92570157170125
143,12970.988695815055,118.96191196036183
144,13187.77868273314,119.3354593465843
145,13526.448545489071,121.31422431351675
146,13622.926852945617,121.59145028681678
