wave,flux,error
4134.882,4.045e-09,9.981e-12
4139.185,4.104e-09,9.974e-12
4143.488,4.247e-09,1.006e-11
4147.792,4.320e-09,1.006e-11
4152.096,4.339e-09,1.001e-11
4156.400,4.441e-09,1.002e-11
4160.704,4.592e-09,1.011e-11
4165.009,4.549e-09,9.989e-12
4169.314,4.515e-09,9.873e-12
4173.620,4.461e-09,9.727e-12
4177.925,4.292e-09,9.478e-12
4182.231,4.328e-09,9.445e-12
4186.537,4.364e-09,9.413e-12
4190.844,4.283e-09,9.250e-12
4195.151,4.397e-09,9.302e-12
4199.458,4.375e-09,9.209e-12
4203.765,4.313e-09,9.077e-12
4208.073,4.392e-09,9.082e-12
4212.381,4.483e-09,9.113e-12
4216.689,4.415e-09,8.983e-12
4220.997,4.376e-09,8.876e-12
4225.306,4.248e-09,8.676e-12
4229.615,4.155e-09,8.534e-12
4233.925,4.147e-09,8.451e-12
4238.234,4.247e-09,8.495e-12
4242.544,4.251e-09,8.452e-12
4246.854,4.225e-09,8.357e-12
4251.165,4.186e-09,8.263e-12
4255.476,4.162e-09,8.174e-12
4259.787,4.142e-09,8.108e-12
4264.098,4.153e-09,8.058e-12
4268.409,4.101e-09,7.956e-12
4272.721,4.029e-09,7.827e-12
4277.034,3.949e-09,7.703e-12
4281.346,3.895e-09,7.604e-12
4285.659,3.875e-09,7.536e-12
4289.972,3.755e-09,7.370e-12
4294.285,3.579e-09,7.149e-12
4298.599,3.350e-09,6.879e-12
4302.912,3.174e-09,6.662e-12
4307.227,3.219e-09,6.661e-12
4311.541,3.400e-09,6.804e-12
4315.856,3.764e-09,7.105e-12
4320.171,4.048e-09,7.321e-12
4324.486,4.150e-09,7.364e-12
4328.801,4.038e-09,7.229e-12
4333.117,4.003e-09,7.153e-12
4337.433,3.972e-09,7.076e-12
4341.749,3.900e-09,6.978e-12
4346.066,3.923e-09,6.957e-12
4350.383,4.043e-09,7.027e-12
4354.700,4.128e-09,7.050e-12
4359.017,4.259e-09,7.114e-12
4363.335,4.280e-09,7.102e-12
4367.653,4.216e-09,7.008e-12
4371.971,4.129e-09,6.898e-12
4376.290,4.027e-09,6.776e-12
4380.609,3.885e-09,6.624e-12
4384.928,3.822e-09,6.530e-12
4389.247,3.856e-09,6.527e-12
4393.566,3.872e-09,6.513e-12
4397.886,3.979e-09,6.559e-12
4402.206,4.000e-09,6.546e-12
4406.527,4.017e-09,6.524e-12
4410.847,4.085e-09,6.545e-12
