x_pix,ap_summed,ap_std
0,3832.762542949236,298.57999653060716
1,2764.481773893645,302.4371682864515
2,2025.79942882098,301.40117016389763
3,1881.572467449319,307.1089401638566
4,1492.7156953939943,297.27436496318643
5,767.7711226027665,302.48394419023583
6,1485.793430273839,301.59782244831536
7,1476.249563316399,304.1085592772787
8,927.9975578033551,299.8512202080346
9,2291.982526698617,301.84625661396547
10,-96.84801557999094,296.7454571996925
11,1233.5893201342462,309.54543340994775
12,1523.388343957311,303.2202795487152
13,3190.822724492942,306.6235635430913
14,993.6230754156628,302.2635346278239
15,2024.372693133744,304.10557983623266
16,597.6136736750902,299.9634233551014
17,1284.5931447128544,311.43209353189854
18,3410.7784375996566,308.4370658814717
19,621.1616451912587,305.39717773341755
20,3378.145017714595,305.839656924885
21,1758.230343717525,308.95750487394116
22,4562.417578991505,312.09675625309507
23,1267.8754541883995,308.575564520105
24,3378.496222380475,311.97805698043925
25,2495.1375316027984,310.0496189699021
26,1619.0012950630232,308.7585825517
27,70.21589488023405,305.6473423325893
28,3323.9988323513567,307.35935958059156
29,1772.020862946664,312.73171809110033
30,3624.0405612198592,316.4985163378664
31,2932.82417148686,311.7858779934425
32,2156.3444539983175,312.38640994128724
33,4983.240831372612,314.9021221613719
34,3388.8644320197045,315.28339060696345
35,2096.819111082252,310.4362370567575
36,5031.833624265594,318.8976960928458
37,2804.767300652675,319.61918160051374
38,4453.736410557336,318.9380954950325
39,3590.9886546559155,317.02316124458326
40,2338.8311106087904,316.0885247383795
41,2494.06699951874,312.09134459290044
42,4409.578652884857,325.7960068436253
43,4843.334476592732,326.5235955721392
44,4436.4323725922695,323.09251560723527
45,3138.9740197905294,323.8081078201819
46,3924.658129140879,325.65654008616076
47,5230.406803819662,333.94617197122346
48,5506.266374865351,332.39270208067893
49,3967.4818580614906,328.92238974474634
50,5209.704838126078,335.99432163568383
51,5818.37584488321,336.6724597597757
52,7358.774881063434,341.6082889753088
53,6325.665823894556,351.7313889937431
54,7961.824434282846,344.82143886243904
55,7351.454123606957,348.1256156352235
56,8164.534035649022,345.51105670891053
57,8090.2610066488505,353.5690078240627
58,9402.141892653612,364.5341156717406
59,9250.858699747536,357.44350991275473
60,10113.472058576697,367.99468580050575
61,11023.17170271277,366.9694771067254
62,10227.42819580732,374.60377485491506
63,10770.30017522483,375.3956234432765
64,12732.64895103397,381.33195353379733
65,10899.726297661387,380.9421891595782
66,13406.718410612815,386.9441995123783
67,13671.366321388317,390.28491290977456
68,14913.079654348589,395.11992602912926
69,14022.172157202822,401.17012975174003
70,14525.298406442957,402.1885362474819
71,15341.096554798098,404.42884516631636
72,18033.67182933606,413.4743099534209
73,17566.88977856824,411.2630741448636
74,19781.283501935384,426.4870583753582
75,18789.994694687222,427.56184112825235
76,21235.88624851897,426.6257685259829
77,21214.96260381924,441.5226856697795
78,23773.895308494793,449.18367752920943
79,24387.678698550953,460.98941383201435
80,28515.053605482393,479.95764734897
81,31094.460215709627,490.1784341705938
82,32119.32993311986,498.62195937443676
83,31288.957807437375,507.45013170280384
84,36776.3618690618,515.8402782139793
85,37264.26175323164,528.0517927187146
86,40193.4320850894,541.7452448765046
87,43753.08050337119,555.4344858298302
88,44909.548343648465,559.3898536322657
89,47292.71013043252,573.5083405788921
90,44292.32749807464,564.3925730018884
91,46738.20100908945,565.8195832158071
92,46182.83523752457,562.0922417024975
93,46886.91547126498,568.6428903121371
94,47109.32900676728,576.4991278225559
95,49456.10351597975,577.7020571575109
96,48690.998947514876,581.53252253461
97,51911.98527385897,592.9550061090512
98,53046.03214760209,597.8605466317888
99,53498.13526108407,608.9340871312722
100,58395.04395098659,617.5811147487419
101,60945.50369415272,627.5605017952505
102,69236.0257682238,659.5843475351211
103,72264.45165638278,677.323877192606
104,75326.74076757085,684.57309514314
105,80877.88887801816,702.6413860513046
106,83929.12927062403,713.5417034384609
107,86579.93172181457,727.0011502865572
108,92398.75995837091,740.4455928485984
109,95635.67002631442,753.6445379602159
110,104572.76923207752,785.7358150159744
111,109531.80172613868,799.0481269525396
112,120022.51826835447,833.2402481738922
113,125156.93350393747,853.8580581499315
114,135055.08698905405,875.5556495460456
115,136119.40219484532,879.905809943898
116,136841.98335096712,882.982789034224
117,128933.8510180247,869.365223332456
118,128092.708707081,857.7176746532236
119,125211.24421446213,856.5754043462355
120,129008.42601168796,860.8374869365321
121,129077.85385858949,862.9432320055153
122,135602.25456408144,876.3345190504003
123,139659.88028064562,888.2107620167451
124,151506.5439271488,924.3718541271309
125,166083.73684619722,964.1553404357555
126,176794.45194298233,986.5999402321737
127,179504.18349954992,1000.0626870692606
128,190694.72686219832,1022.6450492248731
129,196392.5652672717,1037.5451219899269
130,205444.90244638437,1060.1633619049348
131,222489.46963692602,1104.0721695047148
132,259551.70096210393,1181.2154777935818
133,303461.4737514398,1276.5233954201342
134,330636.7172230044,1323.2542832132174
135,352580.721141305,1369.460867044237
136,367531.8708813814,1396.8377457775086
137,381558.6788748704,1419.8636443253477
138,400868.4859849989,1450.3636725181548
139,413217.7727995446,1474.4903635766177
140,424715.9751985943,1497.516096136496
141,436691.34857917076,1513.0879603935766
142,451307.91423938423,1538.8343526517997
143,456249.77712722146,1548.5041091053376
144,468032.3596434674,1564.0625448896442
145,466991.354993996,1566.1561384889255
146,487004.1708374651,1595.0255825054587
147,492397.3802479512,1604.3333209693903
148,494224.29761565034,1607.1552226721265
149,504489.13428734115,1623.1371982194698
150,513436.19179592165,1637.1889480110376
151,525898.9555193016,1656.1615224060085
152,530346.9545576372,1662.5992300891357
153,546856.4412845039,1687.3959673473496
154,573112.1139947766,1724.40024068398
155,590414.8414593583,1750.7381565950552
156,604375.8868769717,1772.9988470428657
157,621267.2918479043,1797.4360594322297
158,630004.5721869089,1804.0551966106505
159,637735.8639304967,1814.460046480607
160,636105.6107875039,1818.1440976986169
161,641884.7925135124,1827.7307186002547
162,683860.3436791335,1880.0422859517464
163,743992.2112583469,1962.435965166884
164,794136.1726542925,2024.1279786412174
165,802863.915113484,2033.752536859886
166,852268.4487212661,2091.212974037078
167,858045.750268006,2099.204550530387
168,879669.5966230067,2124.3415127344965
169,912960.5878245502,2167.1045727152964
170,945539.7706166148,2202.3374987178636
171,956432.9420667866,2214.7969207127258
172,968243.433383912,2226.522475032948
173,1019098.6807665192,2285.36423497746
174,1031545.5500337827,2297.284900314879
175,1038175.1218334058,2307.266200893113
176,1042094.2223321559,2306.5485340630926
177,1023492.0922853219,2288.2065583244785
178,1045409.621131293,2313.8391865617846
179,1062669.6221936408,2331.826113557795
180,1083317.7678594613,2354.067216721146
181,1109150.3230325056,2377.769375051067
182,1125815.7667174605,2398.065591923739
183,1121268.8666204344,2396.6727783011547
184,1166487.2876617014,2440.7702231344897
185,1198487.7646076812,2474.5832338323144
186,1214275.506627853,2490.304346741533
187,1208579.7276152938,2485.060416176262
188,1184810.5515361808,2460.7794391639986
189,1182032.2965918616,2457.8413486172435
190,1200515.8668352042,2475.491214784517
191,1239113.9586417018,2515.571144902475
192,1260405.1243959398,2535.365695149326
193,1287026.2831021608,2561.328374058179
194,1278393.7810845193,2552.202028634837
195,1296828.9990649058,2571.154960506024
196,1304131.2890841868,2579.326168357759
197,1327957.209527614,2602.462579835558
198,1329648.9208669334,2604.1839357163517
199,1320412.3008319365,2596.4150782401703
200,1318912.2597521935,2591.1562396790446
201,1330765.599726523,2605.59969931225
202,1330983.1227080356,2605.259467474466
203,1309671.009275189,2584.319100008475
204,1266401.218360359,2539.39374968889
205,1200809.0323969221,2474.416363451557
206,1151705.8675118336,2427.9489476960484
207,1174961.8084977341,2450.285233283563
208,1261738.1369826344,2538.0437875502116
209,1406990.0869315583,2675.8277915401563
210,1537131.2322479011,2796.34056148354
211,1586476.5149764884,2840.5757738068864
212,1569050.3642492061,2825.4281674323224
213,1587678.7288670824,2840.380493342286
214,1582153.8991071854,2835.899756691356
215,1566476.9020825147,2823.4538641503314
216,1606474.0974502498,2857.8142828663053
217,1660184.7751848574,2906.916293504081
