wave,flux,error
3420.660,2.336e-08,2.421e-09
3424.909,1.105e-08,1.132e-09
3429.159,4.753e-09,6.045e-10
3433.409,2.966e-09,3.767e-10
3437.659,2.111e-09,2.705e-10
3441.909,2.266e-09,2.258e-10
3446.160,1.934e-09,2.152e-10
3450.411,2.216e-09,2.098e-10
3454.663,1.560e-09,1.969e-10
3458.915,2.249e-09,1.922e-10
3463.167,1.495e-09,1.775e-10
3467.420,1.716e-09,1.634e-10
3471.673,1.249e-09,1.443e-10
3475.926,7.312e-10,1.226e-10
3480.180,1.191e-09,1.085e-10
3484.434,1.126e-09,1.028e-10
3488.688,5.245e-10,1.036e-10
3492.943,1.198e-09,1.157e-10
3497.198,1.127e-09,1.262e-10
3501.454,1.876e-09,1.348e-10
3505.709,1.198e-09,1.311e-10
3509.965,1.398e-09,1.261e-10
3514.222,9.400e-10,1.125e-10
3518.479,8.433e-10,9.666e-11
3522.736,5.404e-10,7.952e-11
3526.993,6.916e-10,6.461e-11
3531.251,6.686e-10,5.441e-11
3535.509,6.461e-10,4.822e-11
3539.768,5.087e-10,4.388e-11
3544.027,5.208e-10,4.227e-11
3548.286,4.653e-10,3.938e-11
3552.546,4.826e-10,3.765e-11
3556.806,4.096e-10,3.529e-11
3561.066,4.535e-10,3.382e-11
3565.326,3.874e-10,3.202e-11
3569.587,4.668e-10,3.070e-11
3573.849,3.236e-10,2.896e-11
3578.110,3.415e-10,2.735e-11
3582.372,3.318e-10,2.569e-11
3586.635,3.143e-10,2.418e-11
3590.897,2.874e-10,2.243e-11
3595.160,2.687e-10,2.109e-11
3599.423,2.342e-10,1.929e-11
3603.687,2.945e-10,1.790e-11
3607.951,2.676e-10,1.645e-11
3612.215,2.401e-10,1.514e-11
3616.480,2.223e-10,1.386e-11
3620.745,2.202e-10,1.293e-11
3625.010,2.039e-10,1.215e-11
3629.276,2.284e-10,1.142e-11
3633.542,1.905e-10,1.086e-11
3637.809,1.854e-10,1.041e-11
3642.075,2.088e-10,9.826e-12
3646.342,1.927e-10,9.280e-12
3650.610,1.734e-10,8.391e-12
3654.877,1.754e-10,7.801e-12
3659.145,1.686e-10,7.206e-12
3663.414,1.780e-10,6.833e-12
3667.682,1.736e-10,6.313e-12
3671.951,1.665e-10,5.966e-12
3676.221,1.550e-10,5.614e-12
3680.490,1.449e-10,5.371e-12
3684.760,1.525e-10,5.130e-12
3689.031,1.472e-10,4.882e-12
3693.301,1.492e-10,4.533e-12
3697.572,1.454e-10,4.247e-12
3701.844,1.374e-10,3.808e-12
3706.115,1.323e-10,3.562e-12
3710.387,1.306e-10,3.306e-12
3714.660,1.161e-10,3.101e-12
3718.932,1.175e-10,2.970e-12
3723.205,1.191e-10,2.852e-12
3727.479,1.154e-10,2.695e-12
3731.752,1.109e-10,2.590e-12
3736.026,1.089e-10,2.443e-12
3740.301,1.006e-10,2.307e-12
3744.575,1.090e-10,2.208e-12
3748.850,1.084e-10,2.109e-12
3753.125,1.038e-10,1.972e-12
3757.401,1.055e-10,1.888e-12
3761.677,1.052e-10,1.830e-12
3765.953,1.105e-10,1.800e-12
3770.230,1.116e-10,1.728e-12
3774.507,1.106e-10,1.656e-12
3778.784,1.030e-10,1.526e-12
3783.061,1.055e-10,1.451e-12
3787.339,1.090e-10,1.388e-12
3791.617,1.075e-10,1.326e-12
3795.896,1.089e-10,1.307e-12
3800.175,1.043e-10,1.269e-12
3804.454,9.903e-11,1.214e-12
3808.733,9.406e-11,1.168e-12
3813.013,9.582e-11,1.139e-12
3817.293,9.282e-11,1.086e-12
3821.574,8.876e-11,1.036e-12
3825.854,8.429e-11,9.558e-13
3830.135,7.695e-11,8.716e-13
3834.417,7.540e-11,8.237e-13
3838.698,7.277e-11,7.936e-13
3842.980,7.715e-11,8.022e-13
3847.263,8.012e-11,8.149e-13
3851.545,8.049e-11,8.049e-13
3855.828,8.518e-11,7.957e-13
3860.112,8.618e-11,7.732e-13
3864.395,8.497e-11,7.331e-13
3868.679,8.381e-11,7.000e-13
3872.963,8.214e-11,6.731e-13
3877.248,8.246e-11,6.555e-13
3881.533,8.413e-11,6.414e-13
3885.818,8.455e-11,6.333e-13
3890.103,8.920e-11,6.351e-13
3894.389,9.258e-11,6.346e-13
3898.675,9.730e-11,6.382e-13
3902.962,9.991e-11,6.359e-13
3907.249,1.029e-10,6.311e-13
3911.536,1.027e-10,6.179e-13
3915.823,9.603e-11,5.879e-13
3920.111,9.100e-11,5.616e-13
3924.399,8.733e-11,5.363e-13
3928.687,8.141e-11,5.091e-13
3932.975,7.915e-11,4.902e-13
3937.264,7.673e-11,4.743e-13
3941.554,7.628e-11,4.624e-13
3945.843,7.553e-11,4.516e-13
3950.133,8.102e-11,4.554e-13
3954.423,8.564e-11,4.588e-13
3958.713,8.819e-11,4.568e-13
3963.004,9.003e-11,4.552e-13
3967.295,8.995e-11,4.485e-13
3971.587,9.184e-11,4.484e-13
3975.878,9.431e-11,4.476e-13
3980.170,1.008e-10,4.560e-13
3984.463,1.155e-10,4.796e-13
3988.755,1.290e-10,4.993e-13
3993.048,1.398e-10,5.132e-13
3997.341,1.474e-10,5.208e-13
4001.635,1.524e-10,5.231e-13
4005.929,1.553e-10,5.218e-13
4010.223,1.572e-10,5.191e-13
4014.517,1.625e-10,5.224e-13
4018.812,1.636e-10,5.189e-13
4023.107,1.657e-10,5.170e-13
4027.402,1.692e-10,5.163e-13
4031.698,1.678e-10,5.094e-13
4035.994,1.674e-10,5.037e-13
4040.290,1.675e-10,4.991e-13
4044.586,1.690e-10,4.967e-13
4048.883,1.686e-10,4.915e-13
4053.180,1.690e-10,4.870e-13
4057.478,1.711e-10,4.852e-13
4061.775,1.677e-10,4.765e-13
4066.073,1.689e-10,4.734e-13
4070.372,1.710e-10,4.717e-13
4074.670,1.725e-10,4.693e-13
4078.969,1.784e-10,4.724e-13
